#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.516041,0.006393,0.053773,0.004585,0.004585,4.584210
7.029998,0.048015,0.465640,0.002803,0.002803,7.548917
7.300905,0.076675,0.941947,0.121005,0.121005,12.761693
7.561693,0.067830,2.857962,0.113376,0.113376,13.817964
8.003367,0.251234,10.564090,0.549782,0.549782,35.689146
5.021330,0.203591,9.635224,0.350740,0.350740,39.265945
9.140213,0.519579,21.987414,1.552503,1.552503,63.428099
10.412149,0.301573,8.260056,0.674618,0.674618,52.352005
6.250805,0.286431,10.258892,0.710105,0.710105,55.770170
10.409209,0.511773,28.483479,46.861932,46.861932,126.577660
6.730996,0.362832,16.747014,1.161722,1.161722,62.939527
6.710004,0.375512,20.179169,1.211491,1.211491,69.979358
11.521226,0.384332,29.343278,1.913166,1.913166,91.399999
7.844951,0.240357,18.270361,2.227585,2.227585,72.417315
5.859176,0.286954,21.825768,2.194640,2.194640,80.037798
6.230225,0.218678,16.582797,2.627027,2.627027,82.382926
7.387889,0.286885,18.714345,2.859529,2.859529,92.374266
9.632046,0.222884,17.977223,3.200672,3.200672,98.507886
7.763613,0.201311,21.234661,3.707320,3.707320,116.365864
8.752331,0.251963,25.462112,4.036898,4.036898,117.318983
8.099525,0.235385,20.157063,4.316299,4.316299,123.096455
9.316969,0.266358,21.706336,5.428414,5.428414,127.079246
7.096182,0.200051,17.861106,5.002678,5.002678,120.133060
9.089103,0.211455,19.329338,4.520032,4.520032,121.212868
6.918241,0.213286,20.158351,4.531087,4.531087,125.355718
8.509865,0.288636,19.927793,4.345450,4.345450,121.922387
8.576518,0.266953,24.465497,5.020614,5.020614,128.622822
6.843165,0.196637,22.675188,4.538294,4.538294,120.967415
7.960659,0.241343,23.059942,4.473511,4.473511,123.873284
8.199057,0.387407,28.399868,4.281289,4.281289,120.963672
7.542145,0.245976,25.327709,4.355156,4.355156,229.802482
8.045106,0.344711,23.910825,4.337587,4.337587,124.291073
9.069566,0.251505,25.908475,4.344939,4.344939,121.196913
8.878840,0.293839,25.933716,4.514125,4.514125,114.458046
7.728751,0.476106,26.442437,4.575601,4.575601,122.231508
8.028641,0.275105,21.763486,4.408896,4.408896,127.471668
7.737391,0.307029,22.971279,3.840105,3.840105,125.485805
11.516652,0.387688,21.254663,4.883066,4.883066,125.444692
6.825233,0.367238,17.887989,4.433243,4.433243,127.325739
5.488362,0.464172,12.111147,3.105300,3.105300,105.099039
9.231241,0.689662,15.564147,4.310578,4.310578,153.250039
10.371090,0.696705,25.838491,3.311825,3.311825,140.390770
10.081396,0.745488,25.987331,1.528130,1.528130,126.601887
8.565695,0.657673,24.055229,2.572533,2.572533,132.035471
8.185486,0.354097,19.057370,1.850367,1.850367,122.599279
7.160672,0.362587,12.634010,2.073979,2.073979,125.791707
6.206020,0.352266,16.787952,2.292652,2.292652,132.938451
5.972608,0.301651,13.125605,3.209223,3.209223,127.135229
9.397389,0.618264,23.181871,2.412340,2.412340,150.936397
6.120840,0.264060,13.852689,3.745360,3.745360,132.390279
5.475752,0.323207,14.533641,2.867371,2.867371,130.715687
5.284608,0.443710,14.150806,2.735177,2.735177,132.879892
5.786878,0.301060,13.767034,3.633437,3.633437,132.432856
5.867875,0.299798,16.898106,4.035841,4.035841,131.941439
5.881039,0.333064,16.465106,5.206371,5.206371,136.113856
6.361775,0.245150,17.778461,5.144472,5.144472,145.540862
6.423900,0.263966,15.758176,4.380947,4.380947,136.511051
8.262524,0.238908,18.531528,5.061707,5.061707,136.413941
