#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,14.173609,6.845083,0.002627,11.749075,8.074781,0.002412,23.872835
1413393212305760512.000000,0.000000,0.000000,14.351877,7.409088,0.088940,5.881559,4.874739,0.000553,24.457004
1413393212355760384.000000,0.000000,0.000000,14.046038,6.734320,0.040392,8.012808,6.249959,0.001060,23.933096
1413393212405760512.000000,0.000000,0.000000,15.802150,6.955245,0.052883,5.549321,6.956760,0.000868,25.387379
1413393212455760384.000000,0.000000,0.000000,14.405839,6.847267,0.051385,8.008657,5.270179,0.512736,23.717771
1413393212505760512.000000,0.000000,0.000000,13.588152,14.383863,0.069985,7.651492,6.118959,0.000687,30.743036
1413393212555760384.000000,0.000000,0.000000,14.821833,12.648746,0.091816,8.290838,7.041894,0.000720,30.567442
1413393212605760512.000000,0.000000,0.000000,15.284601,6.478106,0.043611,6.392622,7.053754,0.000918,24.336373
1413393212655760384.000000,0.000000,0.000000,14.462384,6.677536,0.042475,5.384843,5.796827,0.000579,23.834846
1413393212705760512.000000,0.000000,0.000000,14.708068,12.606812,0.071328,6.783210,5.642165,0.000694,30.015661
1413393212755760384.000000,0.000000,0.000000,13.528438,14.410902,0.067521,7.063589,7.263292,0.495504,30.928279
1413393212805760512.000000,0.000000,0.000000,14.849078,16.443380,0.071521,6.592299,6.000287,0.000629,34.114253
1413393212855760384.000000,0.000000,0.000000,13.444267,13.601887,0.050837,7.551605,6.791094,0.000959,29.636342
1413393212905760512.000000,0.000000,0.000000,12.885375,14.116591,0.095588,5.493789,6.253958,0.001218,29.838877
1413393212955760384.000000,0.000000,0.000000,12.488057,8.075613,0.042957,5.210475,7.552275,0.000850,23.612871
1413393213005760512.000000,0.000000,0.000000,15.284648,8.090632,0.054011,5.173206,5.834361,0.000558,26.031888
1413393213055760384.000000,0.000000,0.000000,13.795705,6.349739,0.049888,5.469960,5.324834,0.454638,22.850685
