#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007540,3,1,0,615
0.001966,4,1,0,798
0.269088,5,1,0,989
0.458247,6,1,0,1196
0.600150,7,1,0,1379
0.764643,8,1,0,1590
0.967513,9,1,0,1796
0.648543,10,1,0,2054
2.057509,0,0,0,0
64.522947,0,0,0,0
2.408195,3,1,0,741
1.647062,4,1,0,974
0.001749,5,1,0,1189
0.001967,6,1,0,1520
0.145332,7,1,0,1515
0.567987,8,1,0,1584
0.310295,9,1,0,1922
0.425795,10,1,0,2289
0.468303,0,0,0,0
0.372876,0,0,0,0
0.821235,0,0,0,0
30.687846,0,0,0,0
0.904674,0,0,0,0
1.008008,0,0,0,0
0.983385,0,0,0,0
1.260719,0,0,0,0
1.311272,0,0,0,0
1.483154,3,1,0,915
1.327844,4,1,0,1311
1.581138,5,1,0,1332
1.934748,6,1,0,1246
0.002913,7,1,0,1655
0.001499,8,1,0,2082
0.240955,9,1,0,2485
0.501134,10,1,0,2788
0.430243,0,0,0,0
0.589058,0,0,0,0
0.521655,0,0,0,0
0.616353,0,0,0,0
0.965509,0,0,0,0
62.609219,0,0,0,0
1.327456,0,0,0,0
1.230046,0,0,0,0
1.101447,0,0,0,0
0.944756,3,1,0,550
1.507564,4,1,0,731
1.377353,5,1,0,927
1.227074,6,1,0,1140
2.123743,7,1,0,1327
1.227685,8,1,0,1544
0.001895,9,1,0,1744
0.002643,10,1,0,1945
0.320550,0,0,0,0
0.492049,0,0,0,0
0.596217,0,0,0,0
0.769530,3,1,0,753
0.521202,4,1,0,989
0.487510,5,1,0,1228
1.726760,6,1,0,1487
82.957551,7,1,0,1735
1.691072,8,1,0,1966
1.494523,9,1,0,2204
1.697960,10,1,0,2426
0.003327,0,0,0,0
0.002730,0,0,0,0
0.165709,0,0,0,0
0.490496,0,0,0,0
0.348110,0,0,0,0
0.491576,0,0,0,0
0.893959,3,1,0,479
0.977417,4,1,0,664
1.740712,5,1,0,930
44.364301,6,1,0,1282
1.724083,7,1,0,1622
2.641167,8,1,0,1965
2.080390,9,1,0,2282
2.016861,10,1,0,2637
2.354594,0,0,0,0
3.146869,0,0,0,0
0.003097,0,0,0,0
0.001724,0,0,0,0
0.129101,0,0,0,0
0.210184,0,0,0,0
0.438569,0,0,0,0
0.786755,0,0,0,0
0.997354,0,0,0,0
0.873543,0,0,0,0
0.718439,0,0,0,0
40.245623,0,0,0,0
0.870125,0,0,0,0
0.850913,0,0,0,0
0.905163,0,0,0,0
1.688157,0,0,0,0
1.465857,0,0,0,0
1.268957,0,0,0,0
1.562040,0,0,0,0
1.501638,0,0,0,0
2.040488,0,0,0,0
2.032368,0,0,0,0
2.942961,0,0,0,0
3.091468,0,0,0,0
2.990682,0,0,0,0
2.889498,0,0,0,0
2.408490,0,0,0,0
2.920578,0,0,0,0
2.946511,0,0,0,0
2.438714,0,0,0,0
3.751649,0,0,0,0
2.855031,0,0,0,0
4.553993,0,0,0,0
2.169533,0,0,0,0
4.619802,0,0,0,0
3.530592,0,0,0,0
2.255590,0,0,0,0
4.571477,0,0,0,0
3.710818,0,0,0,0
3.741720,0,0,0,0
3.398490,0,0,0,0
2.626580,0,0,0,0
4.270153,0,0,0,0
2.373001,0,0,0,0
4.460429,0,0,0,0
2.596901,0,0,0,0
3.840420,0,0,0,0
4.387407,0,0,0,0
2.917394,0,0,0,0
4.455279,0,0,0,0
3.902933,0,0,0,0
2.598506,0,0,0,0
4.034769,0,0,0,0
3.181930,0,0,0,0
3.382249,0,0,0,0
3.524050,0,0,0,0
2.406777,0,0,0,0
2.938150,0,0,0,0
3.338758,0,0,0,0
2.423881,0,0,0,0
2.892988,0,0,0,0
1.935311,0,0,0,0
2.407374,0,0,0,0
4.001197,0,0,0,0
4.468760,0,0,0,0
4.021603,0,0,0,0
2.914708,0,0,0,0
3.384267,0,0,0,0
2.920537,0,0,0,0
3.551824,0,0,0,0
3.481215,0,0,0,0
3.909108,0,0,0,0
4.029974,0,0,0,0
4.023041,0,0,0,0
6.937708,0,0,0,0
3.455851,0,0,0,0
3.688880,0,0,0,0
4.095128,0,0,0,0
3.006961,0,0,0,0
2.433251,0,0,0,0
3.380242,0,0,0,0
4.430127,0,0,0,0
3.371164,0,0,0,0
4.099141,0,0,0,0
2.633511,0,0,0,0
2.868428,0,0,0,0
0.990863,0,0,0,0
1.274207,0,0,0,0
2.787124,0,0,0,0
4.123392,0,0,0,0
2.618192,0,0,0,0
2.558641,0,0,0,0
3.867941,0,0,0,0
3.174544,0,0,0,0
3.794397,0,0,0,0
3.163066,0,0,0,0
3.550665,0,0,0,0
3.641923,0,0,0,0
4.279162,0,0,0,0
4.647653,0,0,0,0
4.432924,0,0,0,0
6.393342,0,0,0,0
4.511982,0,0,0,0
3.220253,0,0,0,0
4.625716,0,0,0,0
4.461793,0,0,0,0
6.051455,0,0,0,0
4.554649,0,0,0,0
3.807892,0,0,0,0
5.463224,0,0,0,0
3.993327,0,0,0,0
5.605338,0,0,0,0
4.984533,0,0,0,0
4.743865,0,0,0,0
4.720737,0,0,0,0
8.147641,0,0,0,0
7.343103,0,0,0,0
7.010971,0,0,0,0
5.052218,0,0,0,0
6.658183,0,0,0,0
10.077256,0,0,0,0
9.816212,0,0,0,0
8.412974,0,0,0,0
7.090142,0,0,0,0
6.455900,0,0,0,0
5.314640,0,0,0,0
4.371433,0,0,0,0
4.546538,0,0,0,0
7.219094,0,0,0,0
6.074846,0,0,0,0
5.886749,0,0,0,0
5.121211,0,0,0,0
4.837105,0,0,0,0
6.075490,0,0,0,0
9.184148,0,0,0,0
10.623057,0,0,0,0
7.164309,0,0,0,0
9.536532,0,0,0,0
8.672233,0,0,0,0
5.975158,0,0,0,0
7.853264,0,0,0,0
6.154275,0,0,0,0
8.971706,0,0,0,0
8.998440,0,0,0,0
8.736251,0,0,0,0
9.610720,0,0,0,0
11.924272,0,0,0,0
10.959116,0,0,0,0
12.085478,0,0,0,0
11.590621,0,0,0,0
13.635254,0,0,0,0
10.971939,0,0,0,0
9.772543,0,0,0,0
10.036562,0,0,0,0
10.543122,0,0,0,0
10.119397,0,0,0,0
10.910914,0,0,0,0
13.681198,0,0,0,0
9.406663,0,0,0,0
11.750574,0,0,0,0
15.769512,0,0,0,0
10.600424,0,0,0,0
10.444275,0,0,0,0
9.684009,0,0,0,0
10.107931,0,0,0,0
12.843218,0,0,0,0
9.858849,0,0,0,0
11.197478,0,0,0,0
9.468081,0,0,0,0
9.295753,0,0,0,0
9.761329,0,0,0,0
10.877489,0,0,0,0
9.992977,0,0,0,0
10.692173,0,0,0,0
10.489646,0,0,0,0
16.314065,0,0,0,0
12.402592,0,0,0,0
12.662849,0,0,0,0
16.797461,0,0,0,0
11.124648,0,0,0,0
12.305187,0,0,0,0
13.847084,0,0,0,0
14.373616,0,0,0,0
16.294052,0,0,0,0
17.075596,0,0,0,0
12.675771,0,0,0,0
14.234735,0,0,0,0
14.883010,0,0,0,0
13.478318,0,0,0,0
13.755567,0,0,0,0
17.557189,0,0,0,0
18.284506,0,0,0,0
17.083456,0,0,0,0
21.734132,0,0,0,0
16.371404,0,0,0,0
16.820917,0,0,0,0
18.257793,0,0,0,0
17.038625,0,0,0,0
21.357351,0,0,0,0
17.341748,0,0,0,0
17.199915,0,0,0,0
11.770648,0,0,0,0
21.449849,0,0,0,0
16.202781,0,0,0,0
15.379229,0,0,0,0
15.716502,0,0,0,0
16.686411,0,0,0,0
19.493416,0,0,0,0
13.835142,0,0,0,0
16.438856,0,0,0,0
13.846428,0,0,0,0
15.506113,0,0,0,0
12.167210,0,0,0,0
10.228123,0,0,0,0
14.060136,0,0,0,0
12.666644,0,0,0,0
12.378628,0,0,0,0
12.144123,0,0,0,0
15.964086,0,0,0,0
11.215136,0,0,0,0
9.963643,0,0,0,0
18.797241,0,0,0,0
15.337810,0,0,0,0
13.019948,0,0,0,0
14.437837,0,0,0,0
13.489678,0,0,0,0
10.212505,0,0,0,0
11.238818,0,0,0,0
15.617897,0,0,0,0
13.013886,0,0,0,0
11.695861,0,0,0,0
11.357528,0,0,0,0
10.492274,0,0,0,0
9.278274,0,0,0,0
12.418014,0,0,0,0
8.999237,0,0,0,0
13.428689,0,0,0,0
11.997972,0,0,0,0
12.502852,0,0,0,0
15.247605,0,0,0,0
12.641243,0,0,0,0
13.936432,0,0,0,0
15.479650,0,0,0,0
15.305709,0,0,0,0
16.148063,0,0,0,0
13.156790,0,0,0,0
15.461699,0,0,0,0
11.979796,0,0,0,0
16.227646,0,0,0,0
11.293203,0,0,0,0
11.587852,0,0,0,0
12.249106,0,0,0,0
12.598485,0,0,0,0
15.983452,0,0,0,0
14.276715,0,0,0,0
16.867034,0,0,0,0
12.980075,0,0,0,0
12.367331,0,0,0,0
15.065549,0,0,0,0
