#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,16.372312,2.748719,0.003336,9.111090,3.072983,0.002004,21.309525
1403637130588318976.000000,0.000000,0.000000,13.235679,2.300346,0.063095,1.452165,1.582145,0.001020,18.827878
1403637130638319104.000000,0.000000,0.000000,13.862622,2.968152,0.047106,3.469469,2.972303,0.000588,19.628092
1403637130688318976.000000,0.000000,0.000000,13.216031,3.360233,0.068097,2.871524,1.706281,0.001280,19.332684
1403637130738319104.000000,0.000000,0.000000,12.829368,4.695100,0.085516,1.694721,1.310452,0.000587,21.458907
1403637130788318976.000000,0.000000,0.000000,15.280324,5.428636,0.100579,1.180445,1.439421,0.168265,36.349765
1403637130838319104.000000,0.000000,0.000000,13.648768,2.204125,0.081276,1.541087,2.311960,0.001014,21.912177
1403637130888318976.000000,0.000000,0.000000,12.801938,6.212517,0.075753,1.214138,1.357493,0.000460,28.660143
1403637130938319104.000000,0.000000,0.000000,12.691802,4.746033,0.103527,1.517008,1.407453,0.000288,25.001932
1403637130988318976.000000,0.000000,0.000000,12.643591,2.547931,0.084975,1.716391,1.936027,0.000730,21.435928
1403637131038319104.000000,0.000000,0.000000,14.091201,2.159802,0.066849,1.533094,1.401413,0.000604,21.475201
1403637131088318976.000000,0.000000,0.000000,13.405018,2.227671,0.062192,4.863798,2.431734,0.288240,22.947549
1403637131138319104.000000,0.000000,0.000000,13.507576,2.007360,0.056939,4.228825,2.705329,0.000707,20.599766
1403637131188318976.000000,0.000000,0.000000,12.958198,2.259231,0.061834,1.518926,1.502773,0.000669,21.548553
1403637131238319104.000000,0.000000,0.000000,15.510920,2.523847,0.061149,3.271730,1.780665,0.000472,24.394936
1403637131288318976.000000,0.000000,0.000000,13.957519,2.240186,0.062070,3.114457,2.986146,0.000625,22.452680
1403637131338319104.000000,0.000000,0.000000,13.573634,5.318629,0.093531,2.585548,2.822467,0.226289,29.713972
