#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.767633,0.029763,0.307387,0.009346,0.009346,7.121619
4.796056,0.031160,0.259092,0.001738,0.001738,5.089311
7.389646,0.149024,1.379610,0.151787,0.151787,14.803758
4.425703,0.054378,0.776931,0.119449,0.119449,10.289233
5.016627,0.066142,0.989958,0.117560,0.117560,10.350601
8.141334,0.115534,10.577360,0.269867,0.269867,29.232182
7.273985,0.192199,16.666272,0.420881,0.420881,47.897661
8.500136,0.269837,19.532075,0.340297,0.340297,57.936792
7.396228,0.478683,14.288896,0.543847,0.543847,50.201254
9.362021,0.255048,27.489421,38.773466,38.773466,106.501401
8.517522,0.213014,17.287489,0.886479,0.886479,62.450718
6.211034,0.104487,10.848026,0.888433,0.888433,54.771809
6.465600,0.089308,16.199138,0.773211,0.773211,62.108883
7.539328,0.104828,14.610337,0.794090,0.794090,73.717393
7.787425,0.132844,15.125796,1.225677,1.225677,71.563590
8.359878,0.107729,13.635694,1.141576,1.141576,81.174845
10.050184,0.242252,17.976390,1.569376,1.569376,88.652083
9.760321,0.138418,17.339211,1.458905,1.458905,95.581468
7.107742,0.100598,17.304520,2.388114,2.388114,95.826044
8.090086,0.060502,15.277409,2.289177,2.289177,95.949263
8.634245,0.069543,17.967172,1.883976,1.883976,114.904425
8.882395,0.083681,16.360641,2.898000,2.898000,119.702565
9.032504,0.108320,18.374940,3.841228,3.841228,140.405421
9.031699,0.138794,16.095653,2.998486,2.998486,107.849145
8.139928,0.085106,14.416090,3.288781,3.288781,108.292896
10.421253,0.093642,25.489494,2.631644,2.631644,124.002094
8.934868,0.066894,25.854022,2.780230,2.780230,110.911300
6.698110,0.061163,21.702122,2.685343,2.685343,119.434655
7.773650,0.106407,22.267454,2.623649,2.623649,122.846646
7.069891,0.132627,21.409889,2.421443,2.421443,110.664905
7.080119,0.169825,20.740874,2.613524,2.613524,121.434904
7.606104,0.146763,20.491730,2.404954,2.404954,237.237644
8.371978,0.145884,19.048684,2.536148,2.536148,109.549040
7.798921,0.080674,24.533552,2.662958,2.662958,114.115174
7.951657,0.173604,24.099004,2.908522,2.908522,128.059051
7.961016,0.134283,22.189747,2.709535,2.709535,119.420391
8.399956,0.142406,21.240918,3.061143,3.061143,142.264515
8.747413,0.145138,23.873975,3.810789,3.810789,127.099167
8.347636,0.121051,23.333604,2.544083,2.544083,125.577606
16.240947,0.221789,34.955774,2.898119,2.898119,137.577010
8.020907,0.087376,21.106758,2.477627,2.477627,142.642304
9.281522,0.144837,27.252381,3.541411,3.541411,138.633198
7.864993,0.111942,25.143327,1.995479,1.995479,127.063234
7.885725,0.144831,22.303240,3.219648,3.219648,126.745983
8.302303,0.173317,22.279630,2.081127,2.081127,124.561282
10.200205,0.137404,22.657849,5.515762,5.515762,142.631838
8.106120,0.124669,19.792422,3.616984,3.616984,135.946319
9.546283,0.109897,20.877617,3.130894,3.130894,148.068664
8.269570,0.113656,24.762613,4.152297,4.152297,135.967584
10.128512,0.127960,29.584156,4.410112,4.410112,152.876279
