#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008293,3,1,0,1612
0.001816,4,1,0,2163
0.560790,5,1,0,2767
0.680774,6,1,0,3368
0.975639,7,1,0,3966
1.515012,8,1,0,4703
1.200547,9,1,0,5472
1.764191,10,1,0,5801
2.063515,0,0,0,0
125.964025,0,0,0,0
1.826034,0,0,0,0
2.154726,0,0,0,0
2.435567,0,0,0,0
2.716131,0,0,0,0
2.412136,0,0,0,0
2.944194,0,0,0,0
2.959334,0,0,0,0
3.071651,0,0,0,0
3.863831,0,0,0,0
4.218336,0,0,0,0
5.859004,0,0,0,0
5.444737,0,0,0,0
5.293984,0,0,0,0
5.234538,0,0,0,0
4.743138,0,0,0,0
5.133736,0,0,0,0
4.658380,0,0,0,0
4.863687,0,0,0,0
4.595686,0,0,0,0
4.095057,0,0,0,0
4.606083,0,0,0,0
4.494413,0,0,0,0
3.630512,0,0,0,0
4.807199,0,0,0,0
5.872401,0,0,0,0
8.278105,0,0,0,0
3.731888,0,0,0,0
4.824871,0,0,0,0
4.797288,0,0,0,0
3.935997,0,0,0,0
3.745291,0,0,0,0
4.172656,0,0,0,0
3.283651,0,0,0,0
5.469419,0,0,0,0
3.658006,0,0,0,0
3.143389,0,0,0,0
4.178831,0,0,0,0
3.857319,0,0,0,0
4.017064,0,0,0,0
6.200116,0,0,0,0
4.664999,0,0,0,0
4.265564,0,0,0,0
4.922042,0,0,0,0
7.901848,0,0,0,0
5.981554,0,0,0,0
6.770534,0,0,0,0
5.639484,0,0,0,0
4.736196,0,0,0,0
8.153585,0,0,0,0
7.299475,0,0,0,0
5.386690,0,0,0,0
8.447954,0,0,0,0
5.540988,0,0,0,0
7.023742,0,0,0,0
7.032191,0,0,0,0
7.847436,0,0,0,0
6.406518,0,0,0,0
7.883302,0,0,0,0
5.647927,0,0,0,0
9.007553,0,0,0,0
6.024261,0,0,0,0
8.524191,0,0,0,0
7.179860,0,0,0,0
5.449405,0,0,0,0
7.073777,0,0,0,0
8.644227,0,0,0,0
5.764457,0,0,0,0
10.253893,0,0,0,0
9.029428,0,0,0,0
7.539225,0,0,0,0
7.058121,0,0,0,0
9.600028,0,0,0,0
9.583311,0,0,0,0
7.957863,0,0,0,0
7.554653,0,0,0,0
8.950582,0,0,0,0
10.297630,0,0,0,0
9.338150,0,0,0,0
9.913551,0,0,0,0
7.252687,0,0,0,0
6.950360,0,0,0,0
4.767486,0,0,0,0
8.007932,0,0,0,0
7.032744,0,0,0,0
9.924778,0,0,0,0
9.720260,0,0,0,0
8.147073,0,0,0,0
5.969032,0,0,0,0
9.524882,0,0,0,0
4.821772,0,0,0,0
7.527307,0,0,0,0
8.045791,0,0,0,0
7.924153,0,0,0,0
7.623808,0,0,0,0
7.279280,0,0,0,0
7.361993,0,0,0,0
6.631967,0,0,0,0
11.114624,0,0,0,0
8.930893,0,0,0,0
13.825398,0,0,0,0
9.048076,0,0,0,0
8.230919,0,0,0,0
10.336065,0,0,0,0
9.025000,0,0,0,0
6.458113,0,0,0,0
10.262491,0,0,0,0
7.424155,0,0,0,0
7.469381,0,0,0,0
6.074374,0,0,0,0
9.816032,0,0,0,0
10.152163,0,0,0,0
6.914187,0,0,0,0
9.789979,0,0,0,0
12.033808,0,0,0,0
