#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.114270,0.006425,0.056843,0.005939,0.005939,4.187180
7.021030,0.048173,0.352172,0.002733,0.002733,7.426722
8.039726,0.081002,0.883388,0.109541,0.109541,12.907458
5.013360,0.061398,1.889245,0.083794,0.083794,9.697890
7.171214,0.197753,10.136296,0.132913,0.132913,24.473132
7.479251,0.397182,13.398727,0.312634,0.312634,44.623166
7.394566,0.459247,10.323259,0.291395,0.291395,39.970937
5.283768,0.356273,12.287422,0.662136,0.662136,46.590590
6.336072,0.247160,13.026128,0.562140,0.562140,58.710051
4.707972,0.310162,10.365443,65.973317,65.973317,127.373434
5.616200,0.103021,1.062692,0.003133,0.003133,6.786849
5.996635,0.464113,4.053550,0.002897,0.002897,10.519284
6.852274,0.625784,7.482871,0.370709,0.370709,34.532528
7.224033,0.419535,8.272331,0.704838,0.704838,38.838865
3.775883,0.244411,4.897246,0.897812,0.897812,24.068358
3.248283,0.203235,4.074289,0.458942,0.458942,19.579639
4.158827,0.146101,5.215477,0.701091,0.701091,20.728220
7.028857,0.296941,10.232009,0.635565,0.635565,34.108478
4.427145,0.266615,13.714642,0.815068,0.815068,47.697958
8.055099,0.461934,23.935828,46.066162,46.066162,111.140427
9.162690,0.360313,21.414131,1.020124,1.020124,71.946786
7.740077,0.491020,23.760636,1.397325,1.397325,66.833742
5.808021,0.392092,16.495557,1.095685,1.095685,61.333688
4.796374,0.254590,13.587361,1.456196,1.456196,56.143492
9.029901,0.559704,26.717364,1.286518,1.286518,74.226570
5.499021,0.315093,16.487601,1.689565,1.689565,72.581967
5.477537,0.351704,15.657754,1.447581,1.447581,66.714908
5.089290,0.269589,19.033513,2.850506,2.850506,77.171214
6.868414,0.277525,17.244820,2.091918,2.091918,76.988311
5.625154,0.259753,17.426711,2.461951,2.461951,82.879156
5.352766,0.250500,17.847342,3.539799,3.539799,88.227848
6.150103,0.294292,20.813186,3.739797,3.739797,100.302780
6.373101,0.290136,15.798692,4.586883,4.586883,90.257937
