#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,14.022354,4.376652,0.002963,5.328037,2.588000,0.001211,21.179896
1413393886055760384.000000,0.000000,0.000000,11.322721,3.282804,0.063231,4.150223,4.054001,0.000760,17.331822
1413393886105760512.000000,0.000000,0.000000,11.396627,4.084712,0.059738,2.043291,2.184073,0.000485,18.539998
1413393886155760384.000000,0.000000,0.000000,11.102662,2.941416,0.064946,4.313864,3.982692,0.001781,16.546433
1413393886205760512.000000,0.000000,0.000000,10.218889,3.119626,0.055635,3.599222,3.930215,0.000673,16.582160
1413393886255760384.000000,0.000000,0.000000,11.346467,4.138458,0.064627,1.849680,2.275858,0.539902,18.185581
1413393886305760512.000000,0.000000,0.000000,10.772824,7.344873,0.129166,4.628401,4.211097,0.000578,21.884560
1413393886355760384.000000,0.000000,0.000000,12.286899,3.317365,0.049256,3.726745,5.232737,0.001110,18.259959
1413393886405760512.000000,0.000000,0.000000,11.388995,5.717447,0.078013,2.842644,2.923402,0.000684,20.384914
1413393886455760384.000000,0.000000,0.000000,10.469636,4.941272,0.070973,4.084602,5.206912,0.000915,18.042111
1413393886505760512.000000,0.000000,0.000000,12.908759,3.054157,0.048450,1.995541,3.097789,0.001000,18.706145
1413393886555760384.000000,0.000000,0.000000,11.927089,3.036178,0.039087,2.236080,2.969738,0.429647,17.759314
1413393886605760512.000000,0.000000,0.000000,11.633323,7.682731,0.093262,3.870556,7.083441,0.000664,22.087511
1413393886655760384.000000,0.000000,0.000000,10.746042,8.249653,0.102484,4.151533,4.414399,0.000725,22.844455
1413393886705760512.000000,0.000000,0.000000,12.045458,5.833812,0.116847,4.668343,5.613704,0.000622,20.737905
1413393886755760384.000000,0.000000,0.000000,11.499446,6.134904,0.081078,3.537666,4.654864,0.000820,20.667289
1413393886805760512.000000,0.000000,0.000000,10.677595,3.465657,0.043585,2.420712,3.844006,0.373996,16.724064
1413393886855760384.000000,0.000000,0.000000,11.728601,3.415140,0.048545,5.955181,6.149061,0.000813,18.313919
1413393886905760512.000000,0.000000,0.000000,12.010403,3.264999,0.071984,3.580682,4.535260,0.000624,18.214596
1413393886955760384.000000,0.000000,0.000000,10.657012,2.899608,0.054353,4.814862,6.186384,0.000572,16.570916
1413393887005760512.000000,0.000000,0.000000,11.418654,7.613626,0.101631,5.291145,5.870471,0.001017,22.384213
1413393887055760384.000000,0.000000,0.000000,10.971905,7.660243,0.096428,2.821075,4.367542,0.374415,22.160192
1413393887105760512.000000,0.000000,0.000000,11.259488,7.715061,0.100025,5.803930,4.453542,0.000564,22.056005
1413393887155760384.000000,0.000000,0.000000,11.295394,2.813846,0.054778,3.043935,7.308769,0.001040,16.727557
1413393887205760512.000000,0.000000,0.000000,10.266434,3.456457,0.045997,2.795735,4.399127,0.000563,16.645149
1413393887255760384.000000,0.000000,0.000000,12.797592,2.864634,0.046805,2.891708,4.307405,0.000559,18.572588
1413393887305760512.000000,0.000000,0.000000,11.673157,4.495836,0.050898,2.636331,4.113632,0.356829,18.837372
1413393887355760384.000000,0.000000,0.000000,12.964895,8.373377,0.077408,5.583000,4.883316,0.000836,24.613728
