#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009317,3,1,0,715
0.003334,4,1,0,913
0.147604,5,1,0,1117
0.500834,6,1,0,1353
0.749156,7,1,0,1563
0.409004,8,1,0,1783
1.041953,9,1,0,2019
2.635245,10,1,0,2273
3.123537,0,0,0,0
51.283853,0,0,0,0
2.182008,3,1,0,909
1.431343,4,1,0,1243
0.002001,5,1,0,1529
0.001572,6,1,0,1920
0.137331,7,1,0,1956
0.663753,8,1,0,1995
0.675055,9,1,0,2353
0.729009,10,1,0,2736
0.787389,0,0,0,0
0.765799,0,0,0,0
0.961089,0,0,0,0
39.401407,0,0,0,0
1.037897,0,0,0,0
1.129145,0,0,0,0
1.378292,0,0,0,0
2.136709,0,0,0,0
1.471675,0,0,0,0
1.576912,0,0,0,0
1.874959,0,0,0,0
2.666109,0,0,0,0
2.130523,0,0,0,0
3.122562,0,0,0,0
3.403111,0,0,0,0
3.414631,0,0,0,0
3.633612,0,0,0,0
3.221182,0,0,0,0
3.290156,0,0,0,0
3.262456,0,0,0,0
5.839057,0,0,0,0
3.139177,0,0,0,0
3.389537,0,0,0,0
3.637929,0,0,0,0
3.916717,3,1,0,660
4.015241,4,1,0,840
2.941288,5,1,0,1074
2.958232,6,1,0,1311
0.003210,7,1,0,1550
0.002773,8,1,0,1808
0.287198,9,1,0,2048
0.586482,10,1,0,2280
0.416805,0,0,0,0
1.331976,0,0,0,0
0.564690,0,0,0,0
1.968292,3,1,0,884
2.357617,4,1,0,1150
65.557821,5,1,0,1393
1.731890,6,1,0,1706
2.057212,7,1,0,1999
2.750323,8,1,0,2273
0.003984,9,1,0,2513
0.002817,10,1,0,2732
0.469188,0,0,0,0
0.729200,0,0,0,0
1.024273,0,0,0,0
0.621188,3,1,0,491
0.691136,4,1,0,798
2.209650,5,1,0,1111
3.324156,6,1,0,1502
38.025126,7,1,0,1946
1.769957,8,1,0,2318
3.425156,9,1,0,2680
2.194199,10,1,0,3047
0.002125,0,0,0,0
0.002660,0,0,0,0
0.303684,0,0,0,0
0.425942,0,0,0,0
0.493993,0,0,0,0
0.922076,0,0,0,0
0.672673,0,0,0,0
0.983200,0,0,0,0
1.386524,0,0,0,0
55.019908,0,0,0,0
0.822474,0,0,0,0
0.995430,0,0,0,0
1.070081,0,0,0,0
1.220558,0,0,0,0
1.456867,0,0,0,0
1.426235,0,0,0,0
1.455552,0,0,0,0
2.745402,0,0,0,0
2.101198,0,0,0,0
2.538001,0,0,0,0
3.089077,0,0,0,0
2.601964,0,0,0,0
2.453007,0,0,0,0
3.061068,0,0,0,0
3.207307,0,0,0,0
3.582632,0,0,0,0
3.076437,0,0,0,0
4.755988,0,0,0,0
3.044656,0,0,0,0
2.801962,0,0,0,0
4.840880,0,0,0,0
3.613060,0,0,0,0
3.695933,0,0,0,0
4.708331,0,0,0,0
4.005385,0,0,0,0
3.719777,0,0,0,0
5.355874,0,0,0,0
4.188988,0,0,0,0
4.628963,0,0,0,0
6.265323,0,0,0,0
3.509702,0,0,0,0
5.290077,0,0,0,0
3.311344,0,0,0,0
4.760155,0,0,0,0
5.138935,0,0,0,0
5.541567,0,0,0,0
3.834124,0,0,0,0
2.829887,0,0,0,0
2.801903,0,0,0,0
