#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,15.368440,2.704236,0.007621,7.760382,1.903840,0.001643,20.429295
1403638127345096960.000000,0.000000,0.000000,13.967237,2.448237,0.063519,2.159960,2.485766,0.000797,19.697321
1403638127395097088.000000,0.000000,0.000000,11.301909,3.268904,0.049238,0.702792,0.674343,0.000352,17.245905
1403638127445096960.000000,0.000000,0.000000,11.729308,3.744796,0.069122,1.671315,1.756450,0.000911,18.072078
1403638127495097088.000000,0.000000,0.000000,11.644894,1.946676,0.056876,1.623249,2.291424,0.414496,16.362405
1403638127545096960.000000,0.000000,0.000000,12.581572,2.128583,0.046929,1.918546,1.795727,0.000760,17.337093
1403638127595097088.000000,0.000000,0.000000,11.450163,4.558249,0.090483,2.223315,2.107167,0.000652,19.325002
1403638127645096960.000000,0.000000,0.000000,13.308993,5.473597,0.105214,0.796035,0.835883,0.000320,21.891079
1403638127695097088.000000,0.000000,0.000000,11.994353,1.969348,0.053529,1.390120,1.165616,0.000378,16.788936
1403638127745096960.000000,0.000000,0.000000,11.528110,2.258702,0.048526,1.427103,1.713224,0.325688,17.170177
1403638127795097088.000000,0.000000,0.000000,12.873867,2.102612,0.046697,2.507783,2.058031,0.000734,17.625171
1403638127845096960.000000,0.000000,0.000000,12.182600,2.350969,0.050007,2.280845,2.163511,0.000569,17.207958
1403638127895097088.000000,0.000000,0.000000,11.424457,1.992830,0.071599,2.103884,2.422266,0.001073,16.034860
1403638127945096960.000000,0.000000,0.000000,12.608551,2.131365,0.079698,0.859541,1.052382,0.000594,17.253945
1403638127995097088.000000,0.000000,0.000000,12.559552,5.348746,0.110615,0.888098,0.941251,0.183743,21.394571
1403638128045096960.000000,0.000000,0.000000,11.711508,3.611810,0.076674,1.805009,1.439395,0.000597,18.242852
1403638128095097088.000000,0.000000,0.000000,14.339450,5.165136,0.105068,2.060751,2.592726,0.000712,23.281272
1403638128145096960.000000,0.000000,0.000000,13.703260,2.288302,0.056160,1.218836,1.254985,0.000543,18.562696
1403638128195097088.000000,0.000000,0.000000,13.084509,4.607352,0.108842,1.088281,1.129619,0.000419,21.720251
1403638128245096960.000000,0.000000,0.000000,12.121580,2.450413,0.050056,0.870125,1.132959,0.210169,17.689314
1403638128295097088.000000,0.000000,0.000000,12.066125,2.408424,0.055094,3.166989,2.593251,0.000882,17.238648
1403638128345096960.000000,0.000000,0.000000,12.679851,2.512012,0.052707,2.292392,2.492088,0.000630,17.784929
1403638128395097088.000000,0.000000,0.000000,12.525349,3.879069,0.081280,2.537180,2.802963,0.001370,19.886549
1403638128445096960.000000,0.000000,0.000000,12.656376,5.497123,0.101168,1.052297,1.477907,0.000560,21.335419
1403638128495097088.000000,0.000000,0.000000,13.519743,5.232805,0.104188,1.252345,1.459850,0.368929,22.340540
1403638128545096960.000000,0.000000,0.000000,13.327889,5.265865,0.105218,2.572371,5.389156,0.000695,21.552858
1403638128595097088.000000,0.000000,0.000000,13.475816,2.212210,0.055407,2.128933,3.305711,0.000603,18.622741
1403638128645096960.000000,0.000000,0.000000,12.815549,2.955997,0.109056,3.988452,4.199271,0.000792,19.111344
1403638128695097088.000000,0.000000,0.000000,11.338621,1.936248,0.078457,1.928127,2.983137,0.000524,16.036895
1403638128745096960.000000,0.000000,0.000000,14.114339,2.036825,0.045671,2.884048,4.129121,0.548500,18.673859
1403638128795097088.000000,0.000000,0.000000,11.401736,1.845374,0.055005,4.672756,4.579872,0.000662,16.025487
1403638128845096960.000000,0.000000,0.000000,11.591034,2.819944,0.055733,3.069582,3.329937,0.000500,17.234465
1403638128895097088.000000,0.000000,0.000000,11.188451,4.766513,0.095399,4.657663,5.402826,0.000598,19.800816
1403638128945096960.000000,0.000000,0.000000,11.767192,4.898908,0.108491,2.992269,4.969429,0.000609,30.009907
1403638128995097088.000000,0.000000,0.000000,13.350603,5.194109,0.164363,4.301396,5.432576,0.474511,27.286511
1403638129045096960.000000,0.000000,0.000000,11.190420,1.987534,0.059964,3.127906,4.544582,0.000564,17.455272
1403638129095097088.000000,0.000000,0.000000,11.390796,5.005189,0.113948,3.099482,4.105473,0.000584,23.045615
1403638129145096960.000000,0.000000,0.000000,12.368048,5.270604,0.113125,2.979697,4.381845,0.000900,25.161560
1403638129195097088.000000,0.000000,0.000000,12.595663,5.577933,0.084401,3.785808,6.936733,0.001027,24.892413
1403638129245096960.000000,0.000000,0.000000,11.694650,6.862308,0.081232,1.881607,3.778239,0.222704,26.572012
1403638129295097088.000000,0.000000,0.000000,10.837501,2.872414,0.053448,2.127717,3.758493,0.000537,18.457585
1403638129345096960.000000,0.000000,0.000000,12.811143,5.021402,0.064191,3.169652,6.174766,0.000755,23.399064
1403638129395097088.000000,0.000000,0.000000,11.980842,9.761677,0.085266,2.225903,4.513585,0.000685,28.216273
1403638129445096960.000000,0.000000,0.000000,11.468494,9.970256,0.079971,2.560653,4.812606,0.000684,29.033470
1403638129495097088.000000,0.000000,0.000000,12.223860,10.938938,0.081179,1.594562,5.125855,0.503937,31.154921
1403638129545096960.000000,0.000000,0.000000,11.464785,9.857802,0.142201,0.050063,5.862630,0.039191,29.178878
1403638129595097088.000000,0.000000,0.000000,12.277468,4.053431,0.056318,0.048130,7.121450,0.050944,20.937286
1403638129645096960.000000,0.000000,0.000000,12.278285,3.268119,0.075327,0.043083,5.402106,0.325406,20.339439
1403638129695097088.000000,0.000000,0.000000,12.684948,4.878743,0.064914,0.051200,9.000972,0.096988,23.666540
1403638129745096960.000000,0.000000,0.000000,12.178198,9.630040,0.101633,0.065669,11.006935,0.385472,29.764160
1403638129795097088.000000,0.000000,0.000000,12.137779,3.658244,0.039626,0.066345,10.772424,0.107041,21.411378
1403638129845096960.000000,0.000000,0.000000,12.044104,4.395686,0.055035,0.052994,6.408996,0.046036,21.821926
1403638129895097088.000000,0.000000,0.000000,11.225202,3.281788,0.057735,0.059926,9.664065,0.072844,19.390939
1403638129945096960.000000,0.000000,0.000000,12.810380,10.000466,0.106850,0.058010,7.838062,0.365565,31.660066
1403638129995097088.000000,0.000000,0.000000,11.700140,8.151881,0.086924,0.038587,7.949981,0.064362,27.640575
1403638130045096960.000000,0.000000,0.000000,11.879973,7.662572,0.110408,0.039553,7.802578,0.342775,28.212240
1403638130095097088.000000,0.000000,0.000000,14.685138,4.620894,0.056191,0.079745,12.115932,0.095905,24.602576
1403638130145096960.000000,0.000000,0.000000,12.297825,4.769115,0.058494,0.086359,11.098221,0.083378,22.663183
1403638130195097088.000000,0.000000,0.000000,11.587719,4.996765,0.064189,0.070852,11.345942,0.453630,27.244027
1403638130245096960.000000,0.000000,0.000000,12.473517,4.638952,0.056468,0.066774,10.614624,0.121219,25.307371
