#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005930,3,1,0,1850
0.001894,4,1,0,2354
0.433683,5,1,0,2920
0.781827,6,1,0,3544
0.629528,7,1,0,4119
0.940389,8,1,0,4728
2.207127,9,1,0,5385
1.684134,10,1,0,5823
2.023541,0,0,0,0
130.965570,0,0,0,0
2.337742,0,0,0,0
3.231916,0,0,0,0
5.488131,0,0,0,0
2.878877,0,0,0,0
3.371150,0,0,0,0
3.007416,0,0,0,0
3.422381,0,0,0,0
3.472412,0,0,0,0
3.634198,0,0,0,0
4.261763,0,0,0,0
4.661654,0,0,0,0
5.709697,0,0,0,0
5.566118,0,0,0,0
5.803209,0,0,0,0
4.147804,0,0,0,0
5.587473,0,0,0,0
5.449244,0,0,0,0
4.991521,0,0,0,0
6.247358,0,0,0,0
9.239515,0,0,0,0
4.185436,0,0,0,0
4.157506,0,0,0,0
5.497882,0,0,0,0
4.970105,0,0,0,0
3.495041,0,0,0,0
4.103338,0,0,0,0
4.191594,0,0,0,0
4.816948,0,0,0,0
7.706171,0,0,0,0
4.971398,0,0,0,0
7.217814,0,0,0,0
7.554189,0,0,0,0
9.205887,0,0,0,0
6.503548,0,0,0,0
7.324024,0,0,0,0
8.191361,0,0,0,0
10.489944,0,0,0,0
11.294352,0,0,0,0
8.845132,0,0,0,0
12.406577,0,0,0,0
6.966287,0,0,0,0
8.164555,0,0,0,0
11.029050,0,0,0,0
9.875230,0,0,0,0
8.210421,0,0,0,0
11.566940,0,0,0,0
9.272479,0,0,0,0
8.901448,0,0,0,0
14.788732,0,0,0,0
11.831416,0,0,0,0
7.742608,0,0,0,0
12.580770,0,0,0,0
11.445651,0,0,0,0
10.701897,0,0,0,0
13.911939,0,0,0,0
8.439008,0,0,0,0
11.713018,0,0,0,0
11.700593,0,0,0,0
10.449657,0,0,0,0
13.872950,0,0,0,0
10.891690,0,0,0,0
10.126503,0,0,0,0
8.494670,0,0,0,0
11.489491,0,0,0,0
11.048292,0,0,0,0
13.278994,0,0,0,0
9.871961,0,0,0,0
10.659387,0,0,0,0
9.696338,0,0,0,0
11.952880,0,0,0,0
10.876729,0,0,0,0
8.319659,0,0,0,0
9.359320,0,0,0,0
8.798192,0,0,0,0
8.449538,0,0,0,0
11.545143,0,0,0,0
8.892913,0,0,0,0
9.120150,0,0,0,0
13.093427,0,0,0,0
14.304436,0,0,0,0
11.493889,0,0,0,0
14.278658,0,0,0,0
8.355357,0,0,0,0
10.437474,0,0,0,0
10.146312,0,0,0,0
7.329810,0,0,0,0
8.029748,0,0,0,0
7.580717,0,0,0,0
9.082034,0,0,0,0
7.182178,0,0,0,0
15.644664,0,0,0,0
16.065765,0,0,0,0
14.397332,0,0,0,0
11.452309,0,0,0,0
17.624520,0,0,0,0
21.226624,0,0,0,0
13.944652,0,0,0,0
16.305385,0,0,0,0
12.071273,0,0,0,0
16.189969,0,0,0,0
12.496740,0,0,0,0
12.912922,0,0,0,0
11.639405,0,0,0,0
12.862365,0,0,0,0
12.274347,0,0,0,0
11.592357,0,0,0,0
13.722161,0,0,0,0
12.833393,0,0,0,0
11.531356,0,0,0,0
13.508020,0,0,0,0
15.238085,0,0,0,0
8.604524,0,0,0,0
8.242448,0,0,0,0
7.218677,0,0,0,0
9.597472,0,0,0,0
12.029902,0,0,0,0
11.875531,0,0,0,0
13.014348,0,0,0,0
11.415614,0,0,0,0
10.278459,0,0,0,0
9.758386,0,0,0,0
7.364481,0,0,0,0
11.703261,0,0,0,0
6.833245,0,0,0,0
13.678897,0,0,0,0
9.816888,0,0,0,0
14.247564,0,0,0,0
9.825759,0,0,0,0
9.407389,0,0,0,0
12.147250,0,0,0,0
18.023404,0,0,0,0
9.652748,0,0,0,0
10.986715,0,0,0,0
9.094634,0,0,0,0
11.362059,0,0,0,0
15.765220,0,0,0,0
11.504042,0,0,0,0
12.981685,0,0,0,0
8.393639,0,0,0,0
9.213694,0,0,0,0
10.571284,0,0,0,0
9.157055,0,0,0,0
8.635552,0,0,0,0
7.956740,0,0,0,0
7.740746,0,0,0,0
8.801481,0,0,0,0
8.955370,0,0,0,0
7.682679,0,0,0,0
8.957642,0,0,0,0
11.752797,0,0,0,0
10.156780,0,0,0,0
9.105944,0,0,0,0
9.617210,0,0,0,0
6.847994,0,0,0,0
15.551286,0,0,0,0
8.372698,0,0,0,0
6.873267,0,0,0,0
8.656514,0,0,0,0
7.652691,0,0,0,0
9.288473,0,0,0,0
10.548455,0,0,0,0
9.916844,0,0,0,0
15.184886,0,0,0,0
11.741759,0,0,0,0
15.985929,0,0,0,0
12.656151,0,0,0,0
15.063171,0,0,0,0
13.909925,0,0,0,0
14.270365,0,0,0,0
16.340199,0,0,0,0
15.205108,0,0,0,0
18.625933,0,0,0,0
13.605534,0,0,0,0
14.266165,0,0,0,0
20.155661,0,0,0,0
17.689799,0,0,0,0
14.455177,0,0,0,0
16.700872,0,0,0,0
17.492535,0,0,0,0
13.484676,0,0,0,0
15.717672,0,0,0,0
14.851920,0,0,0,0
18.379468,0,0,0,0
16.155091,0,0,0,0
14.998968,0,0,0,0
14.850879,0,0,0,0
14.434114,0,0,0,0
14.679840,0,0,0,0
16.315688,0,0,0,0
13.243732,0,0,0,0
19.580715,0,0,0,0
15.882261,0,0,0,0
20.141802,0,0,0,0
23.368681,0,0,0,0
20.253862,0,0,0,0
20.783639,0,0,0,0
20.064605,0,0,0,0
17.231823,0,0,0,0
14.861300,0,0,0,0
24.310952,0,0,0,0
22.905618,0,0,0,0
24.458491,0,0,0,0
17.984952,0,0,0,0
19.437076,0,0,0,0
15.910102,0,0,0,0
22.269957,0,0,0,0
17.749280,0,0,0,0
20.385919,0,0,0,0
22.263576,0,0,0,0
23.428426,0,0,0,0
17.721703,0,0,0,0
23.781750,0,0,0,0
22.346864,0,0,0,0
18.944827,0,0,0,0
22.674650,0,0,0,0
18.771960,0,0,0,0
24.468311,0,0,0,0
23.166536,0,0,0,0
