#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.101852,0.030562,0.304479,0.008307,0.008307,7.452079
7.907246,0.066292,0.585821,0.003034,0.003034,8.564562
8.078293,0.099185,1.021707,0.159417,0.159417,15.649537
8.178835,0.105208,1.943299,0.180541,0.180541,17.547477
7.791720,0.089492,2.334896,0.315618,0.315618,21.972661
9.092156,0.095602,13.547374,0.483875,0.483875,45.041811
5.640486,0.105156,6.822536,0.321590,0.321590,24.754757
5.549100,0.139590,8.138107,0.524570,0.524570,31.943672
5.305638,0.141548,7.756796,0.302637,0.302637,33.070905
10.045468,0.238416,24.256170,69.543793,69.543793,141.591545
10.685480,0.193790,25.617171,1.194235,1.194235,77.834556
7.286846,0.105621,13.378677,0.693793,0.693793,59.703425
10.496652,0.082650,13.812529,0.652736,0.652736,70.076808
7.487917,0.121809,11.711294,0.871539,0.871539,64.426962
9.768633,0.132734,11.800048,0.886876,0.886876,66.943094
7.205367,0.071374,11.646099,1.211477,1.211477,76.658114
8.827846,0.085507,15.576249,1.014525,1.014525,73.441587
8.546915,0.066082,12.567610,0.965545,0.965545,77.760200
7.546641,0.072717,16.448265,2.002338,2.002338,91.890326
8.514367,0.086374,16.067930,1.421509,1.421509,89.558003
8.358733,0.077489,16.730926,1.584246,1.584246,93.635422
8.513864,0.080741,17.504652,2.410067,2.410067,101.016671
8.338380,0.075412,17.202362,2.497603,2.497603,98.050027
9.665928,0.100011,23.241349,2.344614,2.344614,109.109485
16.773323,0.121910,32.118150,2.411987,2.411987,132.986793
9.237497,0.065649,22.083143,2.347399,2.347399,105.755566
9.872759,0.129862,28.076466,2.370154,2.370154,114.439862
9.779940,0.121658,20.375530,2.585760,2.585760,110.879715
8.206728,0.087048,19.834380,2.470707,2.470707,104.099398
8.263144,0.124274,18.979966,1.958094,1.958094,120.200969
16.184138,0.194480,35.018918,2.135364,2.135364,153.749633
7.691636,0.090226,24.246802,2.387621,2.387621,259.115385
10.846311,0.107706,20.538482,2.422893,2.422893,109.869604
9.553487,0.157878,21.441267,2.476501,2.476501,109.929736
16.102296,0.169670,34.073934,2.087992,2.087992,130.349683
16.618757,0.254100,37.304128,1.657708,1.657708,133.947082
13.876798,0.188445,25.766514,1.932269,1.932269,126.088769
17.149811,0.171791,24.216743,1.961624,1.961624,128.299061
9.567674,0.084497,18.828836,4.075806,4.075806,128.822808
19.098760,0.222773,39.757679,2.351647,2.351647,145.266998
8.673308,0.082258,20.143612,2.452512,2.452512,135.032057
9.946070,0.092432,21.115102,3.027851,3.027851,130.912478
8.738408,0.086661,21.458413,4.074958,4.074958,135.725395
8.268860,0.101590,18.766402,3.591773,3.591773,134.105424
9.511566,0.136660,18.817613,2.633357,2.633357,134.523961
8.027855,0.077390,14.932514,3.693433,3.693433,126.586506
7.980340,0.076612,16.219154,2.789428,2.789428,130.583522
6.634521,0.050686,12.854393,3.106536,3.106536,109.694210
12.322143,0.083122,33.395864,3.901965,3.901965,111.201954
13.414979,0.072598,35.313139,5.139070,5.139070,131.761689
6.109579,0.011321,0.158144,0.001946,0.001946,6.281983
7.543088,0.064146,0.609636,0.002564,0.002564,8.220980
8.345448,0.074452,0.958971,0.218017,0.218017,17.326245
6.514818,0.042720,0.526508,0.254500,0.254500,10.330918
8.288488,0.019473,1.437780,0.577087,0.577087,18.745688
7.549491,0.015026,1.692709,0.603937,0.603937,18.193911
8.931928,0.015210,2.186094,0.712948,0.712948,23.089084
9.208060,0.024100,2.660617,0.592516,0.592516,25.252759
9.258486,0.021493,2.927086,0.662516,0.662516,25.947882
9.595621,0.022229,3.059064,40.814678,40.814678,67.929105
9.689953,0.023433,3.506376,1.109212,1.109212,41.532385
9.388677,0.005056,4.010755,1.066330,1.066330,46.044980
10.184664,0.005850,4.305139,1.438824,1.438824,49.955116
9.769246,0.005933,3.182373,1.021873,1.021873,39.087142
9.157638,0.006013,4.947053,0.931242,0.931242,38.685748
