#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006261,3,1,0,430
0.003114,4,1,0,966
0.183523,5,1,0,1361
0.177616,6,1,0,1775
0.276297,7,1,0,2288
0.606992,8,1,0,2484
0.676618,9,1,0,2615
0.787920,10,1,0,3126
0.701628,0,0,0,0
86.095821,0,0,0,0
0.507356,0,0,0,0
0.609630,0,0,0,0
0.744872,0,0,0,0
1.315247,0,0,0,0
0.845092,0,0,0,0
1.228670,0,0,0,0
1.377553,0,0,0,0
1.268150,0,0,0,0
1.368981,0,0,0,0
1.353684,0,0,0,0
1.599306,0,0,0,0
2.149428,0,0,0,0
3.179094,0,0,0,0
2.707573,0,0,0,0
2.120686,0,0,0,0
2.042301,0,0,0,0
2.044714,0,0,0,0
2.875575,0,0,0,0
2.287704,0,0,0,0
2.134536,0,0,0,0
2.128516,0,0,0,0
2.005869,0,0,0,0
2.985247,0,0,0,0
2.377033,0,0,0,0
2.151745,0,0,0,0
1.756170,0,0,0,0
2.299002,0,0,0,0
1.385244,0,0,0,0
2.435254,0,0,0,0
2.483043,0,0,0,0
2.281848,0,0,0,0
1.624995,0,0,0,0
2.342287,0,0,0,0
4.414221,0,0,0,0
2.701934,0,0,0,0
2.132689,0,0,0,0
2.453986,0,0,0,0
1.816535,0,0,0,0
2.522464,0,0,0,0
2.464510,3,1,0,464
2.813956,4,1,0,584
0.003486,5,1,0,719
0.001478,6,1,0,842
0.171284,7,1,0,1010
0.373214,8,1,0,1138
0.562953,9,1,0,1279
0.498607,10,1,0,1445
0.702223,0,0,0,0
0.834786,0,0,0,0
0.521468,0,0,0,0
36.534191,3,1,0,466
0.676095,4,1,0,652
0.787449,5,1,0,1116
0.705290,6,1,0,1709
0.002371,7,1,0,2278
0.002714,8,1,0,2921
0.198411,9,1,0,3357
0.383053,10,1,0,3923
0.415490,0,0,0,0
0.675298,0,0,0,0
0.752840,0,0,0,0
0.858052,0,0,0,0
1.219846,0,0,0,0
55.212669,0,0,0,0
0.738588,0,0,0,0
0.756138,0,0,0,0
0.943624,0,0,0,0
0.924911,0,0,0,0
1.276089,0,0,0,0
2.439772,0,0,0,0
2.104710,0,0,0,0
1.628994,0,0,0,0
1.528975,0,0,0,0
1.846239,0,0,0,0
1.841749,0,0,0,0
2.690890,0,0,0,0
2.707161,0,0,0,0
2.921529,0,0,0,0
2.816205,0,0,0,0
2.407968,0,0,0,0
2.713633,0,0,0,0
3.505138,0,0,0,0
3.174473,0,0,0,0
3.283624,0,0,0,0
2.559465,0,0,0,0
3.316060,0,0,0,0
2.337592,0,0,0,0
2.857998,0,0,0,0
2.045571,0,0,0,0
2.545360,0,0,0,0
1.865963,0,0,0,0
2.472821,0,0,0,0
1.721837,0,0,0,0
2.059467,0,0,0,0
2.467830,0,0,0,0
3.186768,0,0,0,0
1.733847,0,0,0,0
2.937851,0,0,0,0
3.604150,0,0,0,0
3.108151,0,0,0,0
2.924613,0,0,0,0
2.870556,0,0,0,0
2.799959,0,0,0,0
3.535800,0,0,0,0
2.445766,0,0,0,0
3.035092,0,0,0,0
4.602771,0,0,0,0
4.120768,0,0,0,0
2.671122,0,0,0,0
3.000749,0,0,0,0
3.511503,0,0,0,0
2.986846,0,0,0,0
4.270504,0,0,0,0
2.924149,0,0,0,0
2.234914,0,0,0,0
4.223210,0,0,0,0
2.419851,0,0,0,0
6.238597,0,0,0,0
2.892530,0,0,0,0
4.611154,0,0,0,0
4.512549,0,0,0,0
3.183035,0,0,0,0
4.808468,0,0,0,0
4.262303,0,0,0,0
3.675575,0,0,0,0
2.412745,0,0,0,0
3.073256,0,0,0,0
3.198895,0,0,0,0
5.830669,0,0,0,0
4.249122,0,0,0,0
3.149534,0,0,0,0
4.567355,0,0,0,0
5.421887,0,0,0,0
3.947725,0,0,0,0
6.229995,0,0,0,0
4.517669,0,0,0,0
6.713926,0,0,0,0
4.170366,0,0,0,0
5.452518,0,0,0,0
4.404183,0,0,0,0
4.582140,0,0,0,0
5.630129,0,0,0,0
4.796776,0,0,0,0
4.681164,0,0,0,0
6.485141,0,0,0,0
5.135585,0,0,0,0
5.061438,0,0,0,0
7.484689,0,0,0,0
5.849574,0,0,0,0
8.535902,0,0,0,0
4.750409,0,0,0,0
6.375654,0,0,0,0
6.882075,0,0,0,0
6.114002,0,0,0,0
6.015579,0,0,0,0
8.420987,0,0,0,0
6.908566,0,0,0,0
7.620115,0,0,0,0
6.482333,0,0,0,0
7.735973,0,0,0,0
5.971684,0,0,0,0
9.086224,0,0,0,0
8.018779,0,0,0,0
10.404499,0,0,0,0
10.003029,0,0,0,0
5.343289,0,0,0,0
9.621200,0,0,0,0
7.331213,0,0,0,0
7.626751,0,0,0,0
8.974462,0,0,0,0
6.256277,0,0,0,0
9.160136,0,0,0,0
4.994463,0,0,0,0
5.356653,0,0,0,0
5.105248,0,0,0,0
5.407229,0,0,0,0
8.933237,0,0,0,0
3.990723,0,0,0,0
5.654325,0,0,0,0
3.993122,0,0,0,0
3.119620,0,0,0,0
5.633104,0,0,0,0
3.749268,0,0,0,0
4.982457,0,0,0,0
3.560144,0,0,0,0
2.553590,0,0,0,0
3.947854,0,0,0,0
6.526716,0,0,0,0
3.777665,0,0,0,0
7.324314,0,0,0,0
3.403723,0,0,0,0
4.738932,0,0,0,0
3.967172,0,0,0,0
6.352167,0,0,0,0
6.239980,0,0,0,0
2.827717,0,0,0,0
3.604662,0,0,0,0
4.788001,0,0,0,0
4.093533,0,0,0,0
4.788997,0,0,0,0
5.057495,0,0,0,0
4.769261,0,0,0,0
4.758448,0,0,0,0
5.197506,0,0,0,0
5.658130,0,0,0,0
9.908072,0,0,0,0
5.252008,0,0,0,0
