#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,15.097965,2.632325,0.002498,5.191248,0.770940,0.001403,20.174971
1403638518127829504.000000,0.000000,0.000000,14.923046,2.380830,0.046400,1.931064,0.983168,0.000476,20.403548
1403638518177829376.000000,0.000000,0.000000,15.693489,3.462839,0.058242,0.679987,0.644826,0.000417,21.811343
1403638518227829504.000000,0.000000,0.000000,15.413846,4.563300,0.076601,0.538488,0.593403,0.000452,23.176518
1403638518277829376.000000,0.000000,0.000000,17.677719,4.212710,0.074037,0.414181,0.677602,0.220360,25.275460
1403638518327829504.000000,0.000000,0.000000,16.056143,2.470653,0.052291,0.897616,0.940006,0.000456,21.184573
1403638518377829376.000000,0.000000,0.000000,17.215436,5.451793,0.080340,1.515161,2.372250,0.000573,25.910303
1403638518427829504.000000,0.000000,0.000000,15.934996,2.849660,0.046090,0.621514,2.297935,0.000997,22.204666
1403638518477829376.000000,0.000000,0.000000,14.532274,2.193885,0.052566,0.573513,1.134604,0.000445,19.702592
1403638518527829504.000000,0.000000,0.000000,15.671780,6.003891,0.109124,0.915461,1.640380,0.000668,24.905787
1403638518577829376.000000,0.000000,0.000000,15.974882,5.636511,0.094838,0.959309,2.135861,0.478747,24.967472
1403638518627829504.000000,0.000000,0.000000,15.455684,5.371271,0.042674,3.231947,2.560826,0.000682,23.399152
1403638518677829376.000000,0.000000,0.000000,16.938782,5.572962,0.092407,1.081632,1.570481,0.000804,26.127210
1403638518727829504.000000,0.000000,0.000000,15.180415,5.627548,0.096899,1.037503,1.571116,0.000536,24.180203
1403638518777829376.000000,0.000000,0.000000,15.415121,2.403952,0.048741,0.941148,1.399527,0.000394,20.297213
1403638518827829504.000000,0.000000,0.000000,17.310469,5.635497,0.095859,1.512253,2.260813,0.000590,26.540896
1403638518877829376.000000,0.000000,0.000000,14.970598,5.579501,0.093522,0.880647,1.273067,0.473976,23.534540
1403638518927829504.000000,0.000000,0.000000,17.146802,5.840784,0.098535,4.136357,6.198180,0.000598,26.150686
