#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.554834,6.639239,0.002096,8.063665,6.242802,0.001328,22.752021
1413393212305760512.000000,0.000000,0.000000,13.294075,5.754751,0.053295,6.593336,5.324699,0.000472,21.906009
1413393212355760384.000000,0.000000,0.000000,13.536529,6.823728,0.039113,6.321638,6.868293,0.000568,23.528753
1413393212405760512.000000,0.000000,0.000000,13.116017,6.205180,0.048078,6.472571,6.327938,0.000447,21.717760
1413393212455760384.000000,0.000000,0.000000,14.457891,6.602629,0.038745,6.490785,5.376292,0.511794,24.146240
1413393212505760512.000000,0.000000,0.000000,13.583582,6.869462,0.039611,6.962807,5.717574,0.000396,23.079130
1413393212555760384.000000,0.000000,0.000000,14.499879,8.228814,0.047004,5.868425,6.233373,0.000420,25.209529
1413393212605760512.000000,0.000000,0.000000,13.750252,6.092990,0.050023,5.992869,7.178603,0.000548,22.550771
1413393212655760384.000000,0.000000,0.000000,15.772866,9.022397,0.038664,6.117611,5.588112,0.000358,27.940667
1413393212705760512.000000,0.000000,0.000000,14.686264,5.982770,0.051295,5.715277,4.925018,0.000437,23.641640
1413393212755760384.000000,0.000000,0.000000,15.744095,7.929889,0.043993,4.692121,5.174902,0.396203,27.269848
1413393212805760512.000000,0.000000,0.000000,14.964607,7.020314,0.040825,6.869689,4.734103,0.000378,24.896129
1413393212855760384.000000,0.000000,0.000000,14.941868,6.085903,0.050167,6.100331,5.437619,0.000388,24.482585
1413393212905760512.000000,0.000000,0.000000,13.442777,6.823794,0.058247,4.613658,5.171628,0.000374,22.876665
1413393212955760384.000000,0.000000,0.000000,14.761404,14.487208,0.076841,4.960450,5.311692,0.000413,32.320280
1413393213005760512.000000,0.000000,0.000000,14.111962,10.334304,0.051280,5.098902,5.870840,0.000519,27.284592
1413393213055760384.000000,0.000000,0.000000,13.139176,5.507080,0.048749,5.556024,6.136398,0.500463,21.179105
1413393213105760512.000000,0.000000,0.000000,14.184636,6.835720,0.049372,6.189020,5.698198,0.000761,23.595052
1413393213155760384.000000,0.000000,0.000000,13.875549,6.063430,0.054261,5.452259,6.758911,0.000698,22.757691
1413393213205760512.000000,0.000000,0.000000,15.283526,6.242116,0.049569,5.517014,5.762487,0.000432,24.509654
1413393213255760384.000000,0.000000,0.000000,15.199400,7.071971,0.042450,5.173610,6.617831,0.000552,25.224246
1413393213305760512.000000,0.000000,0.000000,14.449751,7.192368,0.042409,7.603836,7.094717,0.000504,24.448507
1413393213355760384.000000,0.000000,0.000000,15.022077,8.828746,0.047123,4.894438,6.254209,0.469913,26.904123
1413393213405760512.000000,0.000000,0.000000,15.745466,6.151169,0.047418,6.419297,6.492499,0.000500,24.529181
1413393213455760384.000000,0.000000,0.000000,14.526339,6.026325,0.046858,5.239852,5.450947,0.000445,23.185146
1413393213505760512.000000,0.000000,0.000000,13.627606,14.739857,0.056176,5.208621,6.296262,0.000442,31.204912
1413393213555760384.000000,0.000000,0.000000,15.494104,14.922072,0.076348,5.331787,6.202934,0.000460,33.482149
1413393213605760512.000000,0.000000,0.000000,16.260753,8.058532,0.042930,6.758748,7.999690,0.537943,27.006868
1413393213655760384.000000,0.000000,0.000000,13.765594,6.832517,0.042110,6.936956,7.314663,0.000476,23.954571
1413393213705760512.000000,0.000000,0.000000,13.791664,7.155830,0.043165,5.246203,6.518668,0.000446,23.496245
1413393213755760384.000000,0.000000,0.000000,13.616233,11.787085,0.043727,5.575800,7.017763,0.000476,28.191062
1413393213805760512.000000,0.000000,0.000000,14.530332,6.358891,0.049650,4.749096,6.313710,0.000451,23.916189
1413393213855760384.000000,0.000000,0.000000,14.430737,15.126050,0.067915,4.517622,6.206383,0.523038,33.082060
1413393213905760512.000000,0.000000,0.000000,13.236794,11.923980,0.041172,7.866581,7.989934,0.001219,28.458206
1413393213955760384.000000,0.000000,0.000000,14.959315,11.632727,0.041174,4.645141,7.141845,0.000458,29.391095
1413393214005760512.000000,0.000000,0.000000,13.730746,5.821153,0.048806,5.162426,6.176127,0.000403,22.897914
1413393214055760384.000000,0.000000,0.000000,13.297001,5.970887,0.073993,4.534805,7.650500,0.000496,22.353863
1413393214105760512.000000,0.000000,0.000000,13.914473,14.847794,0.055097,4.080663,6.811232,0.460899,31.583173
1413393214155760384.000000,0.000000,0.000000,13.639991,7.044495,0.040446,6.872954,7.385428,0.000520,23.324520
1413393214205760512.000000,0.000000,0.000000,14.285252,7.009652,0.041372,4.746136,5.792249,0.000441,24.174655
1413393214255760384.000000,0.000000,0.000000,15.752347,6.967231,0.039350,5.023402,6.107247,0.000513,25.208632
1413393214305760512.000000,0.000000,0.000000,13.876639,6.183848,0.048465,4.215448,6.114508,0.000408,23.445770
1413393214355760384.000000,0.000000,0.000000,13.754513,14.436707,0.083079,4.334186,7.001985,0.421113,31.823254
1413393214405760512.000000,0.000000,0.000000,14.372005,12.732935,0.046206,5.991898,6.947663,0.000489,29.676695
1413393214455760384.000000,0.000000,0.000000,13.727670,6.852217,0.041062,4.862831,5.634712,0.000452,23.313421
1413393214505760512.000000,0.000000,0.000000,13.828404,10.105338,0.050504,6.474966,8.323799,0.000951,27.298813
1413393214555760384.000000,0.000000,0.000000,13.990931,6.841665,0.042494,5.181593,7.845182,0.000622,23.838259
1413393214605760512.000000,0.000000,0.000000,15.390992,9.464470,0.053631,5.014653,7.610697,0.571630,27.476573
1413393214655760384.000000,0.000000,0.000000,15.011282,16.078801,0.084365,7.956989,7.639467,0.000544,33.967962
1413393214705760512.000000,0.000000,0.000000,17.590610,18.409694,0.137238,0.067448,10.333222,0.072179,39.606776
1413393214755760384.000000,0.000000,0.000000,15.638588,10.831262,0.043151,0.037195,10.185267,0.071716,29.184567
1413393214805760512.000000,0.000000,0.000000,14.302054,6.912295,0.040589,0.053477,13.141717,0.639577,23.889211
1413393214855760384.000000,0.000000,0.000000,13.021409,5.906681,0.055098,0.071476,9.222416,0.080576,21.901816
1413393214905760512.000000,0.000000,0.000000,13.461184,7.179121,0.042481,0.067932,11.996915,0.074514,23.124862
1413393214955760384.000000,0.000000,0.000000,15.659038,16.152370,0.086009,0.069037,10.502768,0.057479,35.055063
1413393215005760512.000000,0.000000,0.000000,14.238346,16.218018,0.091015,0.048823,10.082814,0.062345,33.738284
1413393215055760384.000000,0.000000,0.000000,14.653970,9.332785,0.044287,0.044558,8.908940,0.058414,27.281708
1413393215105760512.000000,0.000000,0.000000,14.831826,10.735082,0.049772,0.048947,10.189378,0.073783,28.214417
1413393215155760384.000000,0.000000,0.000000,15.288415,6.977616,0.042241,0.052316,9.504377,0.060755,25.643495
1413393215205760512.000000,0.000000,0.000000,15.263332,15.002159,0.074869,0.035241,9.620312,0.585697,33.613874
