#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.802942,0.076784,0.786085,0.007477,0.007477,6.679762
8.513542,0.219752,3.886672,0.002760,0.002760,12.625266
6.139211,0.193399,3.853109,0.424346,0.424346,25.963394
8.367456,0.435233,10.142271,0.672403,0.672403,53.566007
7.743047,0.295999,12.192524,0.626336,0.626336,55.027997
7.535456,0.162448,6.316796,1.085116,1.085116,40.972475
8.290468,0.154966,9.373040,1.602165,1.602165,55.009325
10.435872,0.160384,9.250071,1.541571,1.541571,63.806128
7.790130,0.247101,10.427178,1.723891,1.723891,67.259790
7.094379,0.183414,11.522112,61.503033,61.503033,125.209180
6.727772,0.140789,10.913602,2.243276,2.243276,65.125110
6.161573,0.159994,11.627632,2.042613,2.042613,64.395956
9.775424,0.356306,20.822289,2.765179,2.765179,80.120125
7.730967,0.196598,15.094331,2.743434,2.743434,71.925548
7.014863,0.179722,14.287955,3.348637,3.348637,76.016416
7.646001,0.191695,15.429007,3.319808,3.319808,80.070885
7.180998,0.202013,18.127972,4.013681,4.013681,96.478549
7.402979,0.267126,12.461933,4.473666,4.473666,90.422226
9.429877,0.319405,21.502030,3.647265,3.647265,108.162834
13.325713,0.428065,26.374907,4.115577,4.115577,122.014717
13.584987,0.442785,33.785311,3.866214,3.866214,127.648985
6.090033,0.166316,20.671798,5.132643,5.132643,107.554335
10.534341,0.194413,20.552143,5.951492,5.951492,129.503056
8.488407,0.186356,26.259928,5.298945,5.298945,126.035347
8.719481,0.277932,21.745141,5.382008,5.382008,109.781485
8.244950,0.161205,26.413676,4.737646,4.737646,120.005621
7.567917,0.159218,21.557912,5.587260,5.587260,243.378459
7.870592,0.197341,21.762362,5.361258,5.361258,109.825829
10.630679,0.221744,29.002897,4.547828,4.547828,122.422557
11.853792,0.335752,29.530540,4.993859,4.993859,122.132284
7.668769,0.181278,17.527775,6.014655,6.014655,100.602454
6.322183,0.163238,16.708638,4.304606,4.304606,98.541031
6.587591,0.186632,16.630185,5.210651,5.210651,103.641083
6.773552,0.180629,16.942889,4.510338,4.510338,105.526520
6.660880,0.210510,17.112347,5.902889,5.902889,107.894489
6.749324,0.190179,20.242718,4.121115,4.121115,119.415122
9.256387,0.300665,30.320464,6.140930,6.140930,127.800470
10.297698,0.377422,26.947852,3.820205,3.820205,111.432267
11.470501,0.425435,29.189650,4.021358,4.021358,130.442742
11.909476,0.236469,19.022341,6.126989,6.126989,124.109886
9.780110,0.293740,25.587432,3.588570,3.588570,124.858203
5.185422,0.207400,12.914213,5.525829,5.525829,102.956506
9.052902,0.283044,16.657548,4.675163,4.675163,123.550445
6.251240,0.151095,13.590647,4.689382,4.689382,100.362506
10.770262,0.308826,25.501592,5.099611,5.099611,121.742639
6.930729,0.192372,15.174811,3.652725,3.652725,103.677574
5.604069,0.169848,13.657749,5.166302,5.166302,103.681158
5.801240,0.165482,11.909956,3.744706,3.744706,96.733789
5.627232,0.167911,11.844257,3.701274,3.701274,92.994137
4.700934,0.183764,14.017706,4.765533,4.765533,99.743920
7.394052,0.352454,19.544847,2.029491,2.029491,101.948765
