#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008276,3,1,0,1302
0.001287,4,1,0,1882
0.206397,5,1,0,2470
0.510518,6,1,0,2813
0.922118,7,1,0,3212
0.913068,8,1,0,3565
1.182467,9,1,0,3775
1.059162,10,1,0,3788
0.970099,0,0,0,0
58.028315,0,0,0,0
1.100493,0,0,0,0
1.603166,0,0,0,0
1.311381,0,0,0,0
1.508223,0,0,0,0
1.578529,0,0,0,0
1.846575,0,0,0,0
2.046169,0,0,0,0
1.958194,0,0,0,0
2.183728,0,0,0,0
2.979134,0,0,0,0
3.176923,0,0,0,0
2.981961,0,0,0,0
3.358281,0,0,0,0
3.179582,0,0,0,0
3.208251,0,0,0,0
3.097631,0,0,0,0
3.266695,0,0,0,0
3.570702,0,0,0,0
3.383573,0,0,0,0
2.837329,0,0,0,0
3.310589,0,0,0,0
4.920824,0,0,0,0
3.470403,0,0,0,0
3.054588,0,0,0,0
2.977646,0,0,0,0
2.867758,0,0,0,0
2.683008,0,0,0,0
2.644806,0,0,0,0
2.580234,0,0,0,0
3.066375,0,0,0,0
3.825641,0,0,0,0
4.688739,0,0,0,0
2.226149,0,0,0,0
2.612307,0,0,0,0
3.963382,0,0,0,0
2.774502,0,0,0,0
3.447183,0,0,0,0
3.177851,0,0,0,0
2.517521,0,0,0,0
3.657971,0,0,0,0
3.907255,0,0,0,0
2.616220,0,0,0,0
4.324140,0,0,0,0
2.884656,0,0,0,0
1.937079,0,0,0,0
0.799376,0,0,0,0
0.941264,0,0,0,0
1.453750,0,0,0,0
1.051269,0,0,0,0
1.776261,0,0,0,0
1.906730,0,0,0,0
2.157309,0,0,0,0
3.373839,0,0,0,0
2.639409,0,0,0,0
2.440376,0,0,0,0
1.975374,0,0,0,0
1.522069,0,0,0,0
3.066883,0,0,0,0
2.271685,0,0,0,0
2.067797,0,0,0,0
1.226276,0,0,0,0
2.032679,0,0,0,0
1.494158,0,0,0,0
2.141535,0,0,0,0
1.690427,0,0,0,0
2.419842,0,0,0,0
2.441166,0,0,0,0
1.981671,0,0,0,0
2.507192,0,0,0,0
4.787287,0,0,0,0
3.084032,0,0,0,0
3.354161,0,0,0,0
3.486591,0,0,0,0
3.382875,0,0,0,0
2.527553,0,0,0,0
3.328746,0,0,0,0
5.562144,0,0,0,0
3.642460,0,0,0,0
3.949138,0,0,0,0
3.418287,0,0,0,0
4.695438,0,0,0,0
3.462323,0,0,0,0
3.724308,0,0,0,0
5.749595,0,0,0,0
3.098805,0,0,0,0
3.847125,0,0,0,0
2.884152,0,0,0,0
3.067955,0,0,0,0
4.599888,0,0,0,0
2.665833,0,0,0,0
4.382733,0,0,0,0
2.877650,0,0,0,0
2.635998,0,0,0,0
3.225091,0,0,0,0
3.371656,0,0,0,0
1.990638,0,0,0,0
3.527789,0,0,0,0
2.520642,0,0,0,0
0.993304,0,0,0,0
2.182557,0,0,0,0
1.155051,0,0,0,0
1.521659,0,0,0,0
1.143985,0,0,0,0
1.083112,0,0,0,0
0.853909,0,0,0,0
0.909368,0,0,0,0
2.390668,0,0,0,0
0.988054,0,0,0,0
1.488101,0,0,0,0
3.124613,0,0,0,0
2.056164,0,0,0,0
3.159043,0,0,0,0
1.840911,0,0,0,0
3.382627,0,0,0,0
2.924410,0,0,0,0
4.709225,0,0,0,0
4.530998,0,0,0,0
8.191584,0,0,0,0
5.371115,0,0,0,0
4.389590,0,0,0,0
4.700201,0,0,0,0
2.281099,0,0,0,0
2.970437,0,0,0,0
3.697683,0,0,0,0
3.760327,0,0,0,0
3.571267,0,0,0,0
5.165183,0,0,0,0
7.159568,0,0,0,0
3.846683,0,0,0,0
3.826526,0,0,0,0
6.085108,0,0,0,0
4.786099,0,0,0,0
4.252466,0,0,0,0
5.286984,0,0,0,0
3.966114,0,0,0,0
4.302378,0,0,0,0
5.210746,0,0,0,0
4.126527,0,0,0,0
4.694473,0,0,0,0
3.420436,0,0,0,0
3.925514,0,0,0,0
5.309055,0,0,0,0
4.105686,0,0,0,0
4.029198,0,0,0,0
2.880056,0,0,0,0
5.359391,0,0,0,0
3.930358,0,0,0,0
5.795762,0,0,0,0
4.714814,0,0,0,0
4.983218,0,0,0,0
5.259062,0,0,0,0
4.876093,0,0,0,0
6.772701,0,0,0,0
4.878815,0,0,0,0
6.220378,0,0,0,0
6.840495,0,0,0,0
9.691052,0,0,0,0
10.010910,0,0,0,0
7.250988,0,0,0,0
6.628035,0,0,0,0
6.974741,0,0,0,0
7.592186,0,0,0,0
7.987869,0,0,0,0
7.479970,0,0,0,0
8.416738,0,0,0,0
6.957685,0,0,0,0
6.451163,0,0,0,0
9.513217,0,0,0,0
4.958697,0,0,0,0
7.769007,0,0,0,0
6.321599,0,0,0,0
9.821226,0,0,0,0
7.152010,0,0,0,0
5.418369,0,0,0,0
7.620321,0,0,0,0
3.577515,0,0,0,0
2.703479,0,0,0,0
4.313305,0,0,0,0
5.648099,0,0,0,0
2.056016,0,0,0,0
2.335911,0,0,0,0
2.575645,0,0,0,0
3.285052,0,0,0,0
3.342014,0,0,0,0
1.842802,0,0,0,0
2.679191,0,0,0,0
2.863110,0,0,0,0
0.890319,0,0,0,0
2.690884,0,0,0,0
2.158358,0,0,0,0
2.932081,0,0,0,0
1.171693,0,0,0,0
2.852622,0,0,0,0
2.801484,0,0,0,0
1.406422,0,0,0,0
2.628903,0,0,0,0
0.992411,0,0,0,0
1.054610,0,0,0,0
1.779395,0,0,0,0
1.283498,0,0,0,0
0.893764,0,0,0,0
0.802409,0,0,0,0
