#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,13.454581,2.645337,0.002656,7.733810,3.095619,0.001544,18.771958
1403637130588318976.000000,0.000000,0.000000,13.473875,2.565963,0.056549,3.708549,2.975836,0.000483,18.870597
1403637130638319104.000000,0.000000,0.000000,13.054983,4.216713,0.073948,3.331413,2.727400,0.000457,20.070187
1403637130688318976.000000,0.000000,0.000000,15.296804,2.316411,0.052664,3.413070,1.350506,0.000441,20.712572
1403637130738319104.000000,0.000000,0.000000,10.965246,2.343464,0.049991,2.472283,1.204751,0.000480,18.632416
1403637130788318976.000000,0.000000,0.000000,14.335355,4.942235,0.083329,4.251172,2.017532,0.668448,34.164365
1403637130838319104.000000,0.000000,0.000000,12.402416,5.514400,0.152834,3.677495,1.555567,0.000543,27.863702
1403637130888318976.000000,0.000000,0.000000,13.838626,5.691216,0.105337,1.489584,1.277570,0.000442,29.069997
1403637130938319104.000000,0.000000,0.000000,12.989762,6.374165,0.103582,3.997947,3.939488,0.000903,27.930900
1403637130988318976.000000,0.000000,0.000000,13.415846,6.132999,0.090322,1.689249,1.306902,0.000558,26.659287
1403637131038319104.000000,0.000000,0.000000,12.455054,6.505645,0.100544,1.815745,1.664855,0.000484,29.534941
1403637131088318976.000000,0.000000,0.000000,16.589787,5.885722,0.096836,1.957541,1.914140,0.440773,30.630167
1403637131138319104.000000,0.000000,0.000000,12.779202,2.296613,0.050529,3.924232,2.996983,0.000773,21.168394
1403637131188318976.000000,0.000000,0.000000,12.119206,5.810768,0.103098,1.871773,1.852095,0.000558,28.815284
1403637131238319104.000000,0.000000,0.000000,12.826639,2.358216,0.053261,4.050678,2.528328,0.001032,20.886532
1403637131288318976.000000,0.000000,0.000000,11.983192,2.350169,0.069792,2.103901,1.539395,0.000993,20.997112
1403637131338319104.000000,0.000000,0.000000,12.734266,2.577630,0.050678,3.921941,1.872846,0.475119,22.945293
