#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006260,3,1,0,345
0.003757,4,1,0,468
0.155420,5,1,0,610
0.100163,6,1,0,1171
0.298878,7,1,0,1839
0.346542,8,1,0,2451
0.588068,9,1,0,2768
0.390629,10,1,0,3191
0.566368,0,0,0,0
59.775449,0,0,0,0
0.538168,0,0,0,0
0.673685,0,0,0,0
1.061715,0,0,0,0
0.726082,0,0,0,0
1.140354,0,0,0,0
1.231307,0,0,0,0
1.232033,0,0,0,0
1.248757,3,1,0,1734
1.840796,4,1,0,2019
0.002637,5,1,0,2704
0.002913,6,1,0,3372
0.555053,7,1,0,4040
0.708367,8,1,0,4605
0.688336,9,1,0,5259
0.842330,10,1,0,5856
0.944369,0,0,0,0
0.904392,0,0,0,0
0.798491,0,0,0,0
98.598604,0,0,0,0
1.039167,0,0,0,0
1.442037,0,0,0,0
1.253680,0,0,0,0
1.370671,0,0,0,0
2.287965,0,0,0,0
2.057866,0,0,0,0
1.936788,0,0,0,0
1.804857,0,0,0,0
2.262102,0,0,0,0
2.269408,0,0,0,0
2.837931,0,0,0,0
4.005555,0,0,0,0
2.931857,0,0,0,0
3.039517,3,1,0,418
2.827051,4,1,0,520
2.802120,5,1,0,652
3.150841,6,1,0,760
0.003070,7,1,0,881
0.002680,8,1,0,967
0.142437,9,1,0,1095
0.380822,10,1,0,1206
0.260369,0,0,0,0
0.524516,0,0,0,0
0.558639,0,0,0,0
0.399332,0,0,0,0
0.236989,3,1,0,607
46.304121,4,1,0,1053
0.626291,5,1,0,1372
0.968032,6,1,0,1814
1.052691,7,1,0,2719
0.535948,8,1,0,3352
0.002122,9,1,0,4010
0.002717,10,1,0,4778
0.413502,0,0,0,0
0.822663,0,0,0,0
0.740823,0,0,0,0
0.778702,0,0,0,0
1.065624,0,0,0,0
0.841042,0,0,0,0
0.921821,0,0,0,0
109.953489,0,0,0,0
0.905087,0,0,0,0
1.195479,0,0,0,0
0.981162,0,0,0,0
1.330257,0,0,0,0
1.596839,0,0,0,0
1.726900,0,0,0,0
1.422533,0,0,0,0
1.808945,0,0,0,0
1.616563,0,0,0,0
1.803888,0,0,0,0
2.824057,0,0,0,0
3.524033,0,0,0,0
2.909701,0,0,0,0
2.841244,0,0,0,0
