#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.393699,0.011372,0.105317,0.006260,0.006260,6.520838
7.902251,0.094964,0.965058,0.003757,0.003757,8.970096
8.014131,0.080621,1.111528,0.155420,0.155420,13.216731
4.452792,0.045785,0.773850,0.100163,0.100163,8.688668
8.794866,0.083105,2.350567,0.298878,0.298878,22.251629
8.094119,0.104745,12.054847,0.346542,0.346542,32.272653
8.954859,0.189883,23.829752,0.588068,0.588068,61.993020
6.668733,0.161245,11.281789,0.390629,0.390629,37.282311
7.267411,0.199496,12.611226,0.566368,0.566368,47.499803
10.118593,0.224062,26.386951,59.775449,59.775449,127.372601
7.434655,0.112715,13.299273,0.538168,0.538168,49.670471
8.184480,0.158958,16.413995,0.673685,0.673685,63.055973
13.138885,0.207559,28.964833,1.061715,1.061715,85.822252
7.484497,0.153350,16.763659,0.726082,0.726082,71.815569
7.946563,0.121303,29.175403,1.140354,1.140354,94.345671
7.783434,0.076460,16.272081,1.231307,1.231307,73.991483
8.537765,0.103475,18.235887,1.232033,1.232033,79.247301
7.166047,0.074283,13.590853,1.248757,1.248757,81.782826
8.663098,0.080179,14.159146,1.840796,1.840796,86.282678
7.843534,0.162774,1.613205,0.002637,0.002637,9.623719
9.127379,0.405466,2.854240,0.002913,0.002913,12.391698
9.275332,0.549876,11.721368,0.555053,0.555053,49.862540
9.606223,0.425431,13.581065,0.708367,0.708367,59.704464
9.394174,0.190326,10.912525,0.688336,0.688336,45.039480
6.196823,0.150657,13.269241,0.842330,0.842330,63.055473
11.875022,0.283487,28.593237,0.944369,0.944369,80.649988
11.287253,0.228755,20.991071,0.904392,0.904392,63.169989
7.433506,0.127394,12.456539,0.798491,0.798491,62.125125
13.707752,0.260481,19.706868,98.598604,98.598604,172.167213
8.275153,0.135475,17.097329,1.039167,1.039167,66.308658
13.798830,0.283751,33.136221,1.442037,1.442037,97.457719
14.399719,0.180640,31.185726,1.253680,1.253680,117.564078
7.539612,0.101552,15.241175,1.370671,1.370671,76.761894
9.541464,0.104794,18.686420,2.287965,2.287965,95.062947
7.793651,0.069987,17.453357,2.057866,2.057866,100.893656
17.779712,0.223993,25.586471,1.936788,1.936788,116.299482
18.315154,0.176117,39.521129,1.804857,1.804857,132.637599
11.874800,0.105595,28.114609,2.262102,2.262102,130.356727
9.166782,0.086889,24.352486,2.269408,2.269408,123.140178
12.604309,0.125837,26.601130,2.837931,2.837931,131.596657
8.573308,0.108750,24.122741,4.005555,4.005555,179.165180
7.598050,0.118980,17.007489,2.931857,2.931857,120.153255
7.293726,0.074222,16.190310,3.039517,3.039517,113.879965
6.023244,0.045473,12.630962,2.827051,2.827051,76.903595
6.390885,0.036610,14.698105,2.802120,2.802120,77.471596
11.723084,0.093972,32.865675,3.150841,3.150841,137.095382
8.648925,0.027169,0.303414,0.003070,0.003070,8.984588
7.040354,0.052185,0.598845,0.002680,0.002680,7.696027
8.133139,0.091578,0.768434,0.142437,0.142437,13.853762
8.569193,0.065782,1.104468,0.380822,0.380822,15.758004
6.678836,0.008675,0.523033,0.260369,0.260369,10.476193
8.713264,0.015263,1.706503,0.524516,0.524516,18.676073
7.867514,0.019836,1.908192,0.558639,0.558639,19.398918
9.199958,0.017613,2.304284,0.399332,0.399332,22.544643
5.273303,0.006663,1.091438,0.236989,0.236989,11.208939
6.134607,0.016819,1.784488,46.304121,46.304121,61.390085
5.459280,0.009794,1.559771,0.626291,0.626291,19.376204
7.565901,0.005460,3.484378,0.968032,0.968032,37.550593
8.805212,0.006580,4.294695,1.052691,1.052691,40.419592
9.860468,0.004487,4.608935,0.535948,0.535948,59.860301
6.849916,0.011237,0.120006,0.002122,0.002122,6.984347
7.908766,0.074182,0.949795,0.002717,0.002717,8.937419
8.417780,0.160060,4.609412,0.413502,0.413502,24.340227
8.571517,0.228855,12.673036,0.822663,0.822663,41.632553
9.049987,0.211016,9.114775,0.740823,0.740823,36.901832
9.488575,0.216872,10.172312,0.778702,0.778702,51.242307
7.405374,0.149656,13.782950,1.065624,1.065624,45.605939
6.650810,0.136974,10.447217,0.841042,0.841042,47.005119
8.469935,0.142150,13.052423,0.921821,0.921821,51.253611
7.653218,0.146357,14.412574,109.953489,109.953489,176.775518
6.831785,0.122496,15.699688,0.905087,0.905087,70.214672
10.199774,0.163214,23.423643,1.195479,1.195479,87.554805
8.312744,0.146997,17.453021,0.981162,0.981162,77.687324
13.983659,0.287121,39.551191,1.330257,1.330257,117.082378
7.375182,0.119645,17.272451,1.596839,1.596839,98.969751
6.851933,0.162696,17.903939,1.726900,1.726900,96.354877
6.792983,0.146546,22.125595,1.422533,1.422533,112.568046
7.189598,0.164251,16.936346,1.808945,1.808945,97.633847
6.540028,0.146556,18.133043,1.616563,1.616563,102.266115
6.196978,0.131201,19.226511,1.803888,1.803888,115.201500
11.914392,0.164895,27.682944,2.824057,2.824057,136.461714
6.798216,0.134288,19.733725,3.524033,3.524033,130.497179
9.366399,0.199077,23.177876,2.909701,2.909701,151.595594
9.377034,0.159833,26.306582,2.841244,2.841244,124.990252
5.775542,0.138856,19.727333,3.224682,3.224682,278.249332
7.005792,0.217659,18.358713,2.843287,2.843287,121.157638
9.948649,0.315877,30.727283,3.274802,3.274802,135.254867
9.392837,0.309760,33.736235,3.078261,3.078261,132.461187
5.577326,0.139585,12.607498,1.691990,1.691990,121.778307
4.635116,0.237682,15.720896,2.240598,2.240598,126.685837
9.022761,0.301174,25.265762,3.583314,3.583314,139.618584
7.024179,0.196624,14.312519,3.814004,3.814004,157.646857
5.827334,0.140076,14.151245,2.235521,2.235521,123.069703
7.710181,0.187464,14.067223,2.148046,2.148046,118.438056
6.427377,0.159237,13.888570,3.618706,3.618706,128.112309
9.133749,0.316077,20.211617,4.417127,4.417127,181.893287
5.997676,0.171257,14.972241,3.207709,3.207709,129.616931
7.450512,0.171358,18.611401,3.248627,3.248627,135.358111
5.439642,0.160019,13.938871,2.079863,2.079863,128.193968
7.586681,0.192028,16.785826,2.634527,2.634527,121.670448
6.422459,0.170373,22.779018,2.010280,2.010280,134.325901
5.341029,0.172061,16.922541,2.750737,2.750737,128.809966
6.879698,0.221854,23.463035,3.099706,3.099706,136.971534
