#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009067,3,1,0,1726
0.003489,4,1,0,2357
0.218325,5,1,0,2999
0.380469,6,1,0,3568
0.625179,7,1,0,4076
1.172701,8,1,0,4202
1.363241,9,1,0,4279
1.127782,10,1,0,4423
1.186084,0,0,0,0
87.574250,0,0,0,0
1.438360,0,0,0,0
1.748511,0,0,0,0
2.433412,0,0,0,0
1.512205,0,0,0,0
2.228352,0,0,0,0
2.195530,0,0,0,0
2.223147,0,0,0,0
2.978999,0,0,0,0
3.704055,0,0,0,0
3.204021,0,0,0,0
4.666050,0,0,0,0
2.880754,0,0,0,0
3.460772,0,0,0,0
2.894103,0,0,0,0
2.866374,0,0,0,0
3.393411,0,0,0,0
2.923737,0,0,0,0
2.701177,0,0,0,0
2.736855,0,0,0,0
2.342478,0,0,0,0
2.455974,0,0,0,0
3.278883,0,0,0,0
1.987769,0,0,0,0
1.374639,0,0,0,0
0.706641,0,0,0,0
0.502939,0,0,0,0
1.535957,0,0,0,0
0.536410,0,0,0,0
0.539452,0,0,0,0
0.908010,0,0,0,0
0.698278,0,0,0,0
1.344301,0,0,0,0
1.870250,0,0,0,0
0.758780,0,0,0,0
1.178355,0,0,0,0
1.078943,0,0,0,0
1.074876,0,0,0,0
0.991336,0,0,0,0
1.103120,0,0,0,0
1.014973,0,0,0,0
1.743904,0,0,0,0
1.375630,0,0,0,0
1.436118,0,0,0,0
0.924056,0,0,0,0
1.540176,0,0,0,0
1.441181,0,0,0,0
1.327443,0,0,0,0
1.143981,0,0,0,0
1.401672,0,0,0,0
1.606424,0,0,0,0
1.681867,0,0,0,0
1.188699,0,0,0,0
5.724035,0,0,0,0
2.585420,0,0,0,0
1.716607,0,0,0,0
4.330265,0,0,0,0
2.642336,0,0,0,0
2.933561,0,0,0,0
2.820188,0,0,0,0
2.188632,0,0,0,0
1.691035,0,0,0,0
2.096210,0,0,0,0
2.360209,0,0,0,0
2.633087,0,0,0,0
2.571081,0,0,0,0
3.076499,0,0,0,0
2.270339,0,0,0,0
1.489449,0,0,0,0
2.116038,0,0,0,0
1.586859,0,0,0,0
2.424581,0,0,0,0
1.950173,0,0,0,0
2.126490,0,0,0,0
2.387335,0,0,0,0
1.744896,0,0,0,0
1.175673,0,0,0,0
1.730566,0,0,0,0
1.378435,0,0,0,0
1.530109,0,0,0,0
0.524884,0,0,0,0
0.453585,0,0,0,0
1.359630,0,0,0,0
2.100090,0,0,0,0
1.372661,0,0,0,0
0.757825,0,0,0,0
1.262203,0,0,0,0
1.185083,0,0,0,0
1.330109,0,0,0,0
1.615222,0,0,0,0
1.171617,0,0,0,0
0.654377,0,0,0,0
1.008430,0,0,0,0
0.792392,0,0,0,0
1.025425,0,0,0,0
1.478883,0,0,0,0
1.516827,0,0,0,0
0.364003,0,0,0,0
1.187807,0,0,0,0
1.111573,0,0,0,0
0.587787,0,0,0,0
0.623485,0,0,0,0
0.586604,0,0,0,0
0.705126,0,0,0,0
0.834646,0,0,0,0
0.733582,0,0,0,0
0.552641,0,0,0,0
0.354737,0,0,0,0
0.497139,0,0,0,0
1.268984,0,0,0,0
1.322428,0,0,0,0
1.374170,0,0,0,0
1.125808,0,0,0,0
1.441810,0,0,0,0
1.174751,0,0,0,0
0.946961,0,0,0,0
1.184740,0,0,0,0
1.446595,0,0,0,0
1.060300,0,0,0,0
1.714028,0,0,0,0
1.256406,0,0,0,0
1.371954,0,0,0,0
1.637790,0,0,0,0
1.064209,0,0,0,0
2.287659,0,0,0,0
1.309182,0,0,0,0
1.329634,0,0,0,0
1.401388,0,0,0,0
1.819843,0,0,0,0
1.717261,0,0,0,0
1.732736,0,0,0,0
