#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.602328,0.066005,0.639724,0.009067,0.009067,7.324913
8.002836,0.247979,4.274214,0.003489,0.003489,12.531145
6.019372,0.184339,2.820545,0.218325,0.218325,21.006247
6.015244,0.234939,3.909147,0.380469,0.380469,26.086623
10.955777,0.443808,20.752487,0.625179,0.625179,62.541201
10.090664,0.382969,23.691928,1.172701,1.172701,73.882990
10.326770,0.179291,20.376176,1.363241,1.363241,74.920867
6.030076,0.230040,10.424162,1.127782,1.127782,61.819472
5.251592,0.186996,9.657980,1.186084,1.186084,56.879156
5.076247,0.201940,9.891264,87.574250,87.574250,146.839453
3.613073,0.093755,8.953798,1.438360,1.438360,45.488415
3.535150,0.151720,9.505532,1.748511,1.748511,54.904696
3.843495,0.168975,13.816949,2.433412,2.433412,100.839950
2.192766,0.054823,4.964708,1.512205,1.512205,44.326325
2.957232,0.085091,7.892071,2.228352,2.228352,67.116185
3.983655,0.082984,10.573006,2.195530,2.195530,61.165282
4.067691,0.106926,10.693222,2.223147,2.223147,63.554548
3.516730,0.101396,9.978966,2.978999,2.978999,65.703632
5.761187,0.163670,13.680939,3.704055,3.704055,87.875266
4.006323,0.096438,9.689189,3.204021,3.204021,67.992274
3.148614,0.079087,7.570276,4.666050,4.666050,74.155913
6.576418,0.143314,19.953853,2.880754,2.880754,85.377195
9.213275,0.244206,43.764943,3.460772,3.460772,116.022109
7.398354,0.175462,27.945922,2.894103,2.894103,107.521577
5.810527,0.309630,26.439618,2.866374,2.866374,91.143084
4.161176,0.164942,17.281997,3.393411,3.393411,73.152652
1.857401,0.102114,5.909191,2.923737,2.923737,38.031168
2.701044,0.066964,8.301432,2.701177,2.701177,66.001139
2.215410,0.063750,7.861256,2.736855,2.736855,174.481867
1.996800,0.097810,5.596235,2.342478,2.342478,34.102367
1.989640,0.026979,5.705710,2.455974,2.455974,32.605497
3.056236,0.064091,9.228623,3.278883,3.278883,41.980677
6.872126,0.361912,14.560506,1.987769,1.987769,91.450475
8.019859,0.621411,20.782942,1.374639,1.374639,111.595254
7.324487,0.712902,19.863608,0.706641,0.706641,106.758376
6.324046,0.711559,15.407423,0.502939,0.502939,92.664681
4.104175,0.186376,11.699991,1.535957,1.535957,87.119182
5.166856,0.308987,14.208781,0.536410,0.536410,82.355486
3.145023,0.123578,7.820699,0.539452,0.539452,68.261590
3.015051,0.100422,7.873281,0.908010,0.908010,69.506066
2.322348,0.103592,5.971074,0.698278,0.698278,38.838843
3.138445,0.137822,8.612742,1.344301,1.344301,82.817821
2.442110,0.094143,6.666776,1.870250,1.870250,76.777695
2.338635,0.076419,6.136791,0.758780,0.758780,63.271406
2.872874,0.089912,8.730093,1.178355,1.178355,68.207350
2.266598,0.063522,5.389850,1.078943,1.078943,36.260591
3.306964,0.064062,10.276387,1.074876,1.074876,53.593422
3.058962,0.047265,7.375488,0.991336,0.991336,54.140723
3.483643,0.069866,8.584142,1.103120,1.103120,75.193063
2.641928,0.079640,6.493834,1.014973,1.014973,61.208428
3.323558,0.089447,7.126492,1.743904,1.743904,63.862247
3.200361,0.104083,8.453662,1.375630,1.375630,69.456166
2.455615,0.074823,6.619154,1.436118,1.436118,69.189060
2.374308,0.063811,5.716963,0.924056,0.924056,62.385316
3.601955,0.104454,9.731121,1.540176,1.540176,68.662728
3.973049,0.143752,9.977985,1.441181,1.441181,69.759852
3.173150,0.097755,9.296290,1.327443,1.327443,55.596440
2.170063,0.092325,6.106612,1.143981,1.143981,35.242068
2.867601,0.065829,7.783126,1.401672,1.401672,59.029358
2.532104,0.081960,5.634115,1.606424,1.606424,55.985523
3.137137,0.098200,10.896224,1.681867,1.681867,39.158137
2.211750,0.064074,3.946467,1.188699,1.188699,25.083452
5.171702,0.167471,17.781461,5.724035,5.724035,57.936332
6.934061,0.152387,15.057194,2.585420,2.585420,82.237046
3.132646,0.097620,9.292915,1.716607,1.716607,65.046514
5.180682,0.174770,14.233365,4.330265,4.330265,69.578262
4.565910,0.151792,12.841767,2.642336,2.642336,66.447907
6.631925,0.134129,12.389348,2.933561,2.933561,70.679790
5.637515,0.170995,11.942826,2.820188,2.820188,73.601320
4.280591,0.182724,13.134474,2.188632,2.188632,70.037047
4.782663,0.134071,16.110230,1.691035,1.691035,72.085758
4.630473,0.135111,15.103313,2.096210,2.096210,74.703422
9.249685,0.370069,36.598839,2.360209,2.360209,115.566115
4.764575,0.157625,14.181114,2.633087,2.633087,72.507693
3.519174,0.125634,11.077701,2.571081,2.571081,66.869823
3.867396,0.173117,11.525013,3.076499,3.076499,70.706119
2.092705,0.096164,5.413339,2.270339,2.270339,58.597405
3.205871,0.203794,10.597634,1.489449,1.489449,55.700647
2.719789,0.086291,7.132852,2.116038,2.116038,70.417164
1.944966,0.068904,3.957820,1.586859,1.586859,61.991786
3.772905,0.148793,9.274720,2.424581,2.424581,84.188137
3.733405,0.110733,7.424777,1.950173,1.950173,66.376051
5.248955,0.419755,14.315399,2.126490,2.126490,100.659839
4.290987,0.244677,9.899663,2.387335,2.387335,90.626111
4.702622,0.329213,9.583029,1.744896,1.744896,75.869600
4.124923,0.224219,8.444354,1.175673,1.175673,72.520267
3.964552,0.128481,5.168862,1.730566,1.730566,64.305951
4.383830,0.203430,8.333340,1.378435,1.378435,77.030241
6.009076,0.410509,13.005302,1.530109,1.530109,83.609286
4.992060,0.442751,9.980219,0.524884,0.524884,94.377725
5.462330,0.436605,8.937963,0.453585,0.453585,85.047416
5.762325,0.503240,11.638806,1.359630,1.359630,108.122928
6.454537,0.588758,12.857932,2.100090,2.100090,94.135107
5.888085,0.419830,7.430194,1.372661,1.372661,244.702931
4.513297,0.311437,6.603687,0.757825,0.757825,72.093276
6.410979,0.517556,8.942336,1.262203,1.262203,87.541253
8.465282,0.849539,17.310903,1.185083,1.185083,103.787986
8.732965,0.727662,21.563764,1.330109,1.330109,124.640151
4.646010,0.422525,8.962523,1.615222,1.615222,79.795673
3.165867,0.343918,5.830159,1.171617,1.171617,69.679318
2.066682,0.181922,4.582645,0.654377,0.654377,38.768045
1.720256,0.078457,4.200389,1.008430,1.008430,34.294081
2.000720,0.070320,4.262763,0.792392,0.792392,36.105662
1.993193,0.058717,4.069483,1.025425,1.025425,31.920335
3.305776,0.075930,5.275473,1.478883,1.478883,66.566472
3.830773,0.260205,9.811762,1.516827,1.516827,101.226449
5.474586,0.317551,11.369787,0.364003,0.364003,90.690785
4.251349,0.323783,11.053032,1.187807,1.187807,84.628029
2.050008,0.242782,4.511426,1.111573,1.111573,68.230935
2.203805,0.233256,4.718957,0.587787,0.587787,31.827203
1.629539,0.106770,4.034877,0.623485,0.623485,33.802416
1.377545,0.075768,3.508644,0.586604,0.586604,27.746791
1.253321,0.073551,3.763546,0.705126,0.705126,25.161314
1.052846,0.029783,2.283717,0.834646,0.834646,18.542777
1.630613,0.055233,4.389135,0.733582,0.733582,30.106135
1.813424,0.070869,2.584519,0.552641,0.552641,23.144051
1.368812,0.050220,2.853693,0.354737,0.354737,24.993581
1.342649,0.037426,2.780707,0.497139,0.497139,27.805825
2.082542,0.049003,4.769115,1.268984,1.268984,63.716821
2.256451,0.092103,5.069962,1.322428,1.322428,59.433681
3.354784,0.060293,4.112032,1.374170,1.374170,57.236700
2.913950,0.094497,5.572065,1.125808,1.125808,61.697036
2.175139,0.073047,4.061329,1.441810,1.441810,57.772029
2.806254,0.091523,5.659567,1.174751,1.174751,65.610672
2.936829,0.106304,7.011940,0.946961,0.946961,67.805589
3.450343,0.147565,7.518866,1.184740,1.184740,66.716293
3.951855,0.109659,8.502110,1.446595,1.446595,72.357767
3.798246,0.156338,7.946767,1.060300,1.060300,69.547108
5.162945,0.362755,13.984872,1.714028,1.714028,87.880665
5.055978,0.311124,11.542562,1.256406,1.256406,96.636567
4.879349,0.398715,10.269534,1.371954,1.371954,95.521639
4.760641,0.296971,9.562426,1.637790,1.637790,94.620263
