#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,14.094186,5.241939,0.003311,5.582897,5.014624,0.002075,21.684575
1413393212305760512.000000,0.000000,0.000000,10.190369,4.440688,0.054327,6.254941,6.086863,0.000492,17.504460
1413393212355760384.000000,0.000000,0.000000,10.049350,4.596999,0.036600,4.144532,3.919933,0.000452,17.364586
1413393212405760512.000000,0.000000,0.000000,11.221630,5.366913,0.035541,4.678052,4.857797,0.000431,19.079258
1413393212455760384.000000,0.000000,0.000000,9.929657,4.366344,0.044730,4.027004,4.096104,2.324685,17.222370
1413393212505760512.000000,0.000000,0.000000,11.047302,4.662684,0.046016,7.736366,6.221990,0.000487,18.845399
1413393212555760384.000000,0.000000,0.000000,11.690385,11.679615,0.046963,4.048439,4.253685,0.000426,26.009272
1413393212605760512.000000,0.000000,0.000000,11.087104,10.654187,0.049758,4.589912,5.077588,0.000480,24.755282
1413393212655760384.000000,0.000000,0.000000,10.924534,5.343924,0.053942,4.695828,5.101628,0.000526,19.516801
1413393212705760512.000000,0.000000,0.000000,10.861356,4.654517,0.046457,4.532106,4.479870,0.000477,17.988829
1413393212755760384.000000,0.000000,0.000000,10.832066,10.479642,0.046245,5.087761,5.865127,2.541543,24.009050
1413393212805760512.000000,0.000000,0.000000,10.374475,5.509775,0.041991,4.835153,3.681478,0.000422,19.272234
1413393212855760384.000000,0.000000,0.000000,9.937898,11.018035,0.070849,4.229236,4.910674,0.000954,24.401570
1413393212905760512.000000,0.000000,0.000000,10.655440,12.148327,0.079981,5.405026,5.811741,0.000622,26.071122
1413393212955760384.000000,0.000000,0.000000,9.996693,4.984265,0.040718,5.717457,5.187709,0.000546,17.466379
1413393213005760512.000000,0.000000,0.000000,10.801352,4.337296,0.046495,4.191468,4.541729,0.000461,17.759180
1413393213055760384.000000,0.000000,0.000000,10.745534,11.519504,0.048132,4.229353,4.204167,1.958606,25.121369
1413393213105760512.000000,0.000000,0.000000,11.347292,11.951287,0.046736,6.876705,4.925081,0.000604,26.718573
1413393213155760384.000000,0.000000,0.000000,10.497242,10.854623,0.076217,5.755172,5.266929,0.000598,24.381617
1413393213205760512.000000,0.000000,0.000000,10.971761,4.591590,0.049470,4.915495,6.150024,0.000710,18.087594
1413393213255760384.000000,0.000000,0.000000,11.626533,11.294889,0.039242,4.940181,4.934466,0.000511,25.946659
1413393213305760512.000000,0.000000,0.000000,10.658705,5.190192,0.040546,4.418023,4.024593,0.000465,18.504807
1413393213355760384.000000,0.000000,0.000000,11.056583,4.620391,0.044706,6.205409,6.307011,2.752031,18.252864
1413393213405760512.000000,0.000000,0.000000,11.163716,11.603614,0.077410,6.614340,5.374921,0.000524,26.329812
1413393213455760384.000000,0.000000,0.000000,10.273046,5.371193,0.039445,6.884013,4.966450,0.000492,18.773976
1413393213505760512.000000,0.000000,0.000000,10.861839,12.221174,0.079091,5.015202,4.594144,0.000487,26.601745
1413393213555760384.000000,0.000000,0.000000,9.957509,11.983581,0.084485,4.682910,3.986813,0.000510,24.671331
1413393213605760512.000000,0.000000,0.000000,10.737961,12.127916,0.086612,3.784493,4.592327,2.557841,26.341421
1413393213655760384.000000,0.000000,0.000000,14.066584,10.800744,0.041641,6.075097,4.781114,0.000604,27.938966
1413393213705760512.000000,0.000000,0.000000,10.354062,4.514657,0.049300,4.970214,6.836071,0.000897,17.271375
1413393213755760384.000000,0.000000,0.000000,10.700401,5.523948,0.045544,4.940841,5.049442,0.000536,18.783314
1413393213805760512.000000,0.000000,0.000000,10.291862,4.858602,0.038446,3.678040,4.767555,0.000512,17.763112
1413393213855760384.000000,0.000000,0.000000,9.201733,5.108480,0.038586,5.358960,6.373699,3.398518,16.743191
1413393213905760512.000000,0.000000,0.000000,10.580377,8.722939,0.047168,5.941429,6.034724,0.000590,22.312695
1413393213955760384.000000,0.000000,0.000000,9.855087,4.207931,0.045400,5.217230,5.658459,0.000565,17.054995
1413393214005760512.000000,0.000000,0.000000,10.326132,12.105210,0.088474,5.467889,6.127080,0.000653,25.739454
1413393214055760384.000000,0.000000,0.000000,10.138371,4.940677,0.043226,4.430207,4.945007,0.000457,17.708819
1413393214105760512.000000,0.000000,0.000000,11.576351,11.735630,0.085636,4.397393,6.233259,3.075205,25.922196
1413393214155760384.000000,0.000000,0.000000,12.286706,5.302175,0.042382,5.629177,5.574920,0.000462,20.720699
1413393214205760512.000000,0.000000,0.000000,10.199375,4.870388,0.047701,5.106326,6.148877,0.000609,18.390518
1413393214255760384.000000,0.000000,0.000000,11.368851,5.195576,0.040106,5.602671,6.718532,0.000524,19.335990
1413393214305760512.000000,0.000000,0.000000,10.911662,4.991788,0.042411,5.274139,6.072118,0.000510,18.859700
1413393214355760384.000000,0.000000,0.000000,11.515164,5.105601,0.039221,5.491475,4.660722,2.716006,19.327533
1413393214405760512.000000,0.000000,0.000000,10.772671,5.461137,0.039787,6.833944,7.147043,0.000479,18.820291
1413393214455760384.000000,0.000000,0.000000,10.459908,4.459294,0.060712,5.198278,5.809390,0.000601,18.296271
1413393214505760512.000000,0.000000,0.000000,12.204184,11.989617,0.079845,6.007904,6.505999,0.000570,26.978155
