#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.689420,2.667247,0.002157,8.981428,4.091836,0.001697,24.094538
1403637130588318976.000000,0.000000,0.000000,16.816221,2.490163,0.056439,4.080072,3.322841,0.000966,22.756986
1403637130638319104.000000,0.000000,0.000000,17.876202,2.393908,0.049955,1.687236,1.201098,0.000361,23.262442
1403637130688318976.000000,0.000000,0.000000,17.992679,2.275083,0.063616,1.612921,1.404389,0.000397,22.593488
1403637130738319104.000000,0.000000,0.000000,17.864349,2.480842,0.040405,4.065914,3.529971,0.000603,23.846063
1403637130788318976.000000,0.000000,0.000000,19.058541,6.192186,0.097941,1.507217,1.604959,0.159718,41.750861
1403637130838319104.000000,0.000000,0.000000,17.558473,6.832816,0.165043,1.575747,1.580048,0.000345,35.958328
1403637130888318976.000000,0.000000,0.000000,17.426582,2.406091,0.046695,2.288134,1.411250,0.000559,25.308122
1403637130938319104.000000,0.000000,0.000000,16.437537,2.260280,0.054849,1.650771,1.572101,0.000534,24.867981
1403637130988318976.000000,0.000000,0.000000,19.123521,6.136250,0.105574,2.696490,1.778019,0.000604,36.264532
1403637131038319104.000000,0.000000,0.000000,16.505697,3.551402,0.042225,1.702660,1.819132,0.000378,26.409640
1403637131088318976.000000,0.000000,0.000000,18.854863,2.412197,0.033346,1.680235,1.379803,0.151494,27.788710
1403637131138319104.000000,0.000000,0.000000,18.049616,2.628255,0.061864,4.730602,4.085556,0.000655,27.788802
1403637131188318976.000000,0.000000,0.000000,17.265672,2.379781,0.049005,1.757604,1.593339,0.000443,26.070150
1403637131238319104.000000,0.000000,0.000000,16.124330,3.587904,0.070296,3.525175,3.667079,0.000584,26.839929
1403637131288318976.000000,0.000000,0.000000,16.869477,2.352863,0.053809,1.694489,1.585896,0.000499,25.715913
1403637131338319104.000000,0.000000,0.000000,18.226462,2.254062,0.053608,1.705498,1.360570,0.150937,26.481500
1403637131388318976.000000,0.000000,0.000000,18.628357,6.079332,0.104458,3.787119,3.218536,0.001301,37.190898
1403637131438319104.000000,0.000000,0.000000,18.467528,2.586161,0.040310,4.114449,2.712366,0.000634,27.890972
1403637131488318976.000000,0.000000,0.000000,18.013447,6.195992,0.107291,4.202713,3.637274,0.000764,34.753925
1403637131538319104.000000,0.000000,0.000000,17.086155,2.516157,0.045273,1.760127,2.107268,0.000578,26.192121
1403637131588318976.000000,0.000000,0.000000,17.850197,3.756956,0.053209,1.649547,1.248971,0.154389,27.811991
1403637131638319104.000000,0.000000,0.000000,23.219176,6.153754,0.123606,1.861717,1.620091,0.000570,39.793215
1403637131688318976.000000,0.000000,0.000000,19.255146,6.258583,0.105934,1.976830,1.794956,0.001079,35.602270
1403637131738319104.000000,0.000000,0.000000,16.369218,5.721748,0.098965,4.178290,3.308896,0.000612,32.898773
1403637131788318976.000000,0.000000,0.000000,17.142033,2.570882,0.048517,1.895300,1.412294,0.000382,26.285667
1403637131838319104.000000,0.000000,0.000000,18.045360,2.807017,0.053204,1.616650,1.674719,0.152023,26.522466
1403637131888318976.000000,0.000000,0.000000,19.696470,5.046964,0.038933,3.450135,2.748842,0.000653,31.195710
1403637131938319104.000000,0.000000,0.000000,18.314684,5.001321,0.069939,4.382561,4.045335,0.000583,29.998806
1403637131988318976.000000,0.000000,0.000000,16.735468,5.270535,0.094152,1.704255,1.550413,0.000392,32.486675
1403637132038319104.000000,0.000000,0.000000,17.289384,2.187494,0.057205,1.644136,1.823964,0.000359,25.319208
1403637132088318976.000000,0.000000,0.000000,17.619739,2.435147,0.067061,1.759654,1.758646,0.170898,26.532216
1403637132138319104.000000,0.000000,0.000000,17.186846,5.947798,0.099589,1.742600,1.700935,0.000359,32.775616
1403637132188318976.000000,0.000000,0.000000,17.727073,6.350080,0.084209,1.931733,1.758349,0.000653,35.829736
1403637132238319104.000000,0.000000,0.000000,19.620275,2.639790,0.053203,1.830038,1.397495,0.000432,28.565741
1403637132288318976.000000,0.000000,0.000000,17.749664,2.496263,0.051848,1.579764,1.703433,0.000354,26.606787
1403637132338319104.000000,0.000000,0.000000,18.627824,3.433518,0.053532,1.451684,1.477370,0.151080,28.699101
1403637132388318976.000000,0.000000,0.000000,16.834844,2.456867,0.052839,3.698817,2.897617,0.000724,25.430135
1403637132438319104.000000,0.000000,0.000000,16.550819,2.328713,0.051816,1.904772,1.960236,0.000611,25.494968
1403637132488318976.000000,0.000000,0.000000,17.457925,2.253833,0.057106,4.182387,3.368735,0.001310,26.125654
1403637132538319104.000000,0.000000,0.000000,17.707579,5.083104,0.043334,1.891535,1.757489,0.000636,29.267928
1403637132588318976.000000,0.000000,0.000000,17.381899,2.262686,0.052874,2.356027,1.748678,0.185403,25.312082
1403637132638319104.000000,0.000000,0.000000,17.653082,5.389199,0.087196,1.746735,1.528138,0.000433,33.044461
1403637132688318976.000000,0.000000,0.000000,17.635885,5.023457,0.051284,1.678306,1.798500,0.000380,29.863654
1403637132738319104.000000,0.000000,0.000000,18.419594,5.875646,0.098373,3.749148,3.664963,0.000691,34.898483
1403637132788318976.000000,0.000000,0.000000,22.121621,2.611208,0.062651,1.562544,1.518897,0.000524,31.638714
1403637132838319104.000000,0.000000,0.000000,17.219847,5.833894,0.083458,1.690863,1.818726,0.174551,30.165339
1403637132888318976.000000,0.000000,0.000000,16.772916,2.394284,0.048629,0.051889,3.825494,0.026975,24.974367
1403637132938319104.000000,0.000000,0.000000,16.584510,2.239052,0.056908,0.017236,2.953405,0.022597,25.012212
1403637132988318976.000000,0.000000,0.000000,17.371005,6.166820,0.105755,0.017285,7.707692,0.057809,34.555467
1403637133038319104.000000,0.000000,0.000000,17.735708,2.578358,0.045151,0.017424,3.786112,0.026500,26.092985
1403637133088318976.000000,0.000000,0.000000,18.608711,2.578803,0.044925,0.048376,5.085405,0.235169,27.531835
1403637133138319104.000000,0.000000,0.000000,17.088529,6.704756,0.108924,0.022279,2.611014,0.215999,31.012272
1403637133188318976.000000,0.000000,0.000000,16.004435,2.280690,0.054379,0.031069,2.945921,0.022033,24.173227
1403637133238319104.000000,0.000000,0.000000,17.153047,5.902665,0.053342,0.040743,7.177144,0.435893,34.422795
1403637133288318976.000000,0.000000,0.000000,18.472221,3.500312,0.059201,5.585965,1.584459,0.000532,29.192117
1403637133338319104.000000,0.000000,0.000000,17.956967,5.196068,0.086880,1.450097,1.321684,0.000503,31.465046
1403637133388318976.000000,0.000000,0.000000,16.709899,4.386366,0.035012,3.241755,3.210543,0.000587,26.973961
1403637133438319104.000000,0.000000,0.000000,17.593247,2.512668,0.059579,1.431409,1.463798,0.000424,25.687698
1403637133488318976.000000,0.000000,0.000000,17.282594,7.222503,0.116848,2.802370,3.021757,0.778430,35.734499
1403637133538319104.000000,0.000000,0.000000,18.216856,5.992378,0.121944,5.046282,4.696828,0.001017,27.036279
1403637133588318976.000000,0.000000,0.000000,17.848636,6.438745,0.104869,1.847525,2.464156,0.000411,39.339981
1403637133638319104.000000,0.000000,0.000000,19.247584,5.666964,0.061288,1.198616,2.415699,0.000397,28.612050
1403637133688318976.000000,0.000000,0.000000,18.675403,6.424608,0.034847,1.359927,2.266201,0.000571,28.553508
1403637133738319104.000000,0.000000,0.000000,18.611768,4.722423,0.073430,1.157090,2.026931,0.000429,33.669881
1403637133788318976.000000,0.000000,0.000000,17.171937,2.683640,0.088169,1.088128,2.184520,0.434725,25.533691
1403637133838319104.000000,0.000000,0.000000,17.227775,7.017984,0.044879,2.593663,2.726053,0.000538,33.930411
1403637133888318976.000000,0.000000,0.000000,18.663736,6.366802,0.111671,2.168209,2.773609,0.000543,30.810436
1403637133938319104.000000,0.000000,0.000000,18.847450,8.574321,0.097211,1.570481,3.075365,0.000431,37.109278
1403637133988318976.000000,0.000000,0.000000,18.096084,8.478483,0.048030,1.949960,3.260274,0.000665,40.132112
1403637134038319104.000000,0.000000,0.000000,17.073223,5.499423,0.056083,2.680856,4.357876,0.001014,30.056177
1403637134088318976.000000,0.000000,0.000000,17.333986,3.538477,0.057005,3.257448,5.093423,0.739336,27.576997
1403637134138319104.000000,0.000000,0.000000,16.785339,7.351639,0.048243,5.899256,6.127300,0.000960,30.885949
1403637134188318976.000000,0.000000,0.000000,16.178439,4.313502,0.039417,2.539268,3.752928,0.000594,26.515040
1403637134238319104.000000,0.000000,0.000000,17.975467,7.256938,0.040394,2.243392,3.363093,0.000515,31.886091
1403637134288318976.000000,0.000000,0.000000,16.783555,8.452828,0.050098,1.923471,3.787253,0.000542,33.372894
1403637134338319104.000000,0.000000,0.000000,17.301517,4.141481,0.060831,3.189996,5.758714,0.000621,29.403159
1403637134388318976.000000,0.000000,0.000000,17.814499,4.305070,0.061244,1.543864,3.260076,0.333658,29.355562
1403637134438319104.000000,0.000000,0.000000,16.978425,4.991130,0.092076,3.790936,3.619645,0.000479,30.182353
1403637134488318976.000000,0.000000,0.000000,17.443953,9.061205,0.055088,1.586377,3.086468,0.000409,36.865196
1403637134538319104.000000,0.000000,0.000000,16.968631,8.488807,0.103457,1.326959,3.363773,0.000639,37.412132
1403637134588318976.000000,0.000000,0.000000,17.380158,8.467273,0.059733,1.032573,3.321142,0.000495,41.174899
1403637134638319104.000000,0.000000,0.000000,17.769459,5.164506,0.056628,1.598406,5.305290,0.405904,32.601482
1403637134688318976.000000,0.000000,0.000000,16.386864,4.797902,0.073101,1.625349,2.525266,0.000468,30.043296
1403637134738319104.000000,0.000000,0.000000,17.938950,7.684904,0.090717,1.068257,2.517664,0.000616,34.194600
1403637134788318976.000000,0.000000,0.000000,16.435123,7.432390,0.067823,0.805003,2.438357,0.000301,36.303421
1403637134838319104.000000,0.000000,0.000000,15.099997,3.691554,0.103857,0.757511,2.380777,0.000347,26.700826
1403637134888318976.000000,0.000000,0.000000,17.549045,7.307372,0.060660,0.947337,2.575676,0.279414,35.825396
1403637134938319104.000000,0.000000,0.000000,16.410975,3.567911,0.070256,2.666381,3.929751,0.000566,27.811180
1403637134988318976.000000,0.000000,0.000000,17.344628,3.437314,0.074392,1.086876,2.573978,0.000421,28.892207
1403637135038319104.000000,0.000000,0.000000,16.632185,3.021736,0.100758,1.075418,2.457563,0.000598,26.857424
1403637135088318976.000000,0.000000,0.000000,18.590509,5.616741,0.067598,0.996232,2.516398,0.000417,35.275031
1403637135138319104.000000,0.000000,0.000000,16.483307,3.134467,0.054983,1.241882,2.676364,0.364790,27.019197
1403637135188318976.000000,0.000000,0.000000,16.136872,2.339115,0.056186,2.614757,3.591458,0.000460,25.409993
