#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.184454,0.012188,0.120024,0.006342,0.006342,6.327115
7.716455,0.066269,0.601938,0.002820,0.002820,8.389605
10.088965,0.151180,1.847043,0.239148,0.239148,22.064132
7.663223,0.100165,1.681553,0.241159,0.241159,19.333723
5.428918,0.042671,1.005675,0.149244,0.149244,11.622260
5.369908,0.053667,5.881982,0.266428,0.266428,21.035042
9.443034,0.182653,14.638621,0.512693,0.512693,51.758363
5.018242,0.119449,7.547411,0.394778,0.394778,45.068511
9.859876,0.275095,20.739858,0.325253,0.325253,60.293131
10.303934,0.243018,24.921559,70.476962,70.476962,136.571879
9.631072,0.186566,24.781471,0.588434,0.588434,76.293539
11.530259,0.155814,29.232472,0.952882,0.952882,84.372694
11.935688,0.180973,24.273476,0.767053,0.767053,79.444643
8.295377,0.126531,17.051779,0.783793,0.783793,68.639668
13.166470,0.193847,23.585939,1.578107,1.578107,85.298329
12.780122,0.212153,23.708847,1.018750,1.018750,92.778224
13.547969,0.130427,20.548504,1.239940,1.239940,89.145663
9.736909,0.091026,15.460364,1.259754,1.259754,77.686550
9.382779,0.091289,18.805566,1.665335,1.665335,90.519886
7.630592,0.079152,14.864976,2.044046,2.044046,86.717427
8.298727,0.086758,15.874921,1.829362,1.829362,92.858875
7.788646,0.071472,16.463119,2.419896,2.419896,98.306054
8.104307,0.062306,15.349035,2.506196,2.506196,108.993476
18.336500,0.162717,34.900753,2.288914,2.288914,128.233569
9.837455,0.053074,16.678984,2.458366,2.458366,102.873651
7.870479,0.072390,22.734910,2.430811,2.430811,106.166094
8.887264,0.080155,21.468134,2.320473,2.320473,124.967996
8.979057,0.131345,20.976656,2.327700,2.327700,129.610830
10.072061,0.095411,24.055333,2.524166,2.524166,110.958322
16.218402,0.241825,42.233690,2.377212,2.377212,355.446694
10.175510,0.122823,21.281824,2.598006,2.598006,123.407147
17.360507,0.227818,33.836820,2.305956,2.305956,129.423272
17.239858,0.263882,39.208678,2.222036,2.222036,130.397399
17.507113,0.264646,32.074344,2.686764,2.686764,149.283558
11.336920,0.165545,25.976636,2.098650,2.098650,148.413148
7.474648,0.085047,19.884624,2.330191,2.330191,115.133271
8.269454,0.100153,19.703887,2.177947,2.177947,122.053087
8.476238,0.096064,16.786863,3.007801,3.007801,134.064770
7.996179,0.086254,16.236924,3.886472,3.886472,145.439009
9.048252,0.094224,18.527855,2.287157,2.287157,125.658265
9.939852,0.088259,18.342744,4.062440,4.062440,134.152211
10.641645,0.096863,20.217523,3.193680,3.193680,129.448703
10.120564,0.071484,21.490028,2.034794,2.034794,130.351259
11.397941,0.095052,25.201517,4.700363,4.700363,143.051157
9.079924,0.083530,19.349176,4.828509,4.828509,146.183354
8.735243,0.126966,18.764095,2.507755,2.507755,127.546438
7.649330,0.077684,15.358077,4.450882,4.450882,131.585089
8.451096,0.091178,15.371909,3.006754,3.006754,123.367383
8.805659,0.080756,16.915675,2.891444,2.891444,81.651038
12.633051,0.111261,17.795474,3.010414,3.010414,135.532761
12.851312,0.044443,22.539304,4.334544,4.334544,132.717510
5.409492,0.013409,0.134623,0.001934,0.001934,5.560524
6.545426,0.041207,0.297405,0.001439,0.001439,6.886777
8.754451,0.091135,0.894576,0.269411,0.269411,17.650574
8.583442,0.080152,1.159390,0.431277,0.431277,19.446766
9.378109,0.026026,1.860859,0.719992,0.719992,20.126324
8.430741,0.020930,1.985233,0.624097,0.624097,19.858863
6.341642,0.010977,0.962366,0.394519,0.394519,15.724473
9.146987,0.014830,2.505073,0.821510,0.821510,24.347797
8.787474,0.019430,2.805160,0.863303,0.863303,26.043756
9.615801,0.011243,3.242615,39.659069,39.659069,68.782352
9.516039,0.018805,3.132639,0.754601,0.754601,37.749851
10.138327,0.005720,4.086315,1.369714,1.369714,42.260047
9.279242,0.002373,3.707982,1.938415,1.938415,51.294554
9.468731,0.006276,4.905227,0.964762,0.964762,70.450669
7.755371,0.036503,0.382649,0.003750,0.003750,8.180403
6.035330,0.086611,0.963491,0.003040,0.003040,7.090575
8.206100,0.177056,4.030269,0.514286,0.514286,25.465631
6.648269,0.163461,4.153932,0.391342,0.391342,20.880104
6.175576,0.132059,3.339541,0.506151,0.506151,20.320802
7.067113,0.174229,6.507414,0.763742,0.763742,30.903111
10.122484,0.317970,18.561126,1.002153,1.002153,65.399638
9.213782,0.309698,20.271004,1.063686,1.063686,60.103549
11.312743,0.260342,17.733574,1.202872,1.202872,65.201425
8.664435,0.180073,18.389014,84.583197,84.583197,154.326014
12.175347,0.196683,28.373038,1.630007,1.630007,97.682756
12.088402,0.259868,29.455530,1.496046,1.496046,92.483528
13.022215,0.251289,24.924512,1.255295,1.255295,100.566022
12.148799,0.129301,14.964574,1.372394,1.372394,80.555902
13.952671,0.231992,25.179251,1.278563,1.278563,120.046943
7.783186,0.132105,14.990856,1.499752,1.499752,114.044028
9.530758,0.177835,16.651187,1.797437,1.797437,90.980078
10.195162,0.164669,22.935765,1.558256,1.558256,130.783092
11.674620,0.205424,33.929611,2.503632,2.503632,132.092920
13.290961,0.337487,23.829583,2.524491,2.524491,126.228886
14.739912,0.311714,31.523091,3.270848,3.270848,141.546545
9.384322,0.163391,22.146946,2.691816,2.691816,126.989712
8.859419,0.158472,20.349037,2.450411,2.450411,122.433862
7.627948,0.140236,21.018252,2.911583,2.911583,367.598348
6.891669,0.174890,17.180835,2.783220,2.783220,128.755851
6.853282,0.168097,14.285818,3.098270,3.098270,111.885151
6.063742,0.117666,14.047308,2.874611,2.874611,103.619920
