#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008896,3,1,0,426
0.002763,4,1,0,958
0.152091,5,1,0,1341
0.256125,6,1,0,1762
0.145285,7,1,0,2297
0.810058,8,1,0,2515
0.561834,9,1,0,2686
0.743280,10,1,0,3155
1.191718,0,0,0,0
45.264565,0,0,0,0
0.911046,0,0,0,0
0.585957,0,0,0,0
0.727987,0,0,0,0
0.858261,0,0,0,0
0.913760,0,0,0,0
1.044673,0,0,0,0
1.234504,0,0,0,0
1.109397,0,0,0,0
1.558208,0,0,0,0
1.672869,0,0,0,0
2.597378,0,0,0,0
2.000790,0,0,0,0
2.237506,0,0,0,0
2.096061,0,0,0,0
2.253089,0,0,0,0
2.227838,0,0,0,0
2.415273,0,0,0,0
2.112138,0,0,0,0
2.177516,0,0,0,0
2.460896,0,0,0,0
2.531461,0,0,0,0
2.110300,0,0,0,0
1.999386,0,0,0,0
2.598426,0,0,0,0
2.429460,0,0,0,0
1.919791,0,0,0,0
2.788971,0,0,0,0
1.612167,0,0,0,0
2.199899,0,0,0,0
2.491940,0,0,0,0
1.802213,0,0,0,0
2.430270,0,0,0,0
1.707161,0,0,0,0
2.648941,0,0,0,0
5.103611,0,0,0,0
1.901187,0,0,0,0
3.326801,0,0,0,0
2.536681,0,0,0,0
1.840305,0,0,0,0
2.973912,0,0,0,0
1.596135,0,0,0,0
2.490279,0,0,0,0
2.794165,3,1,0,446
1.420173,4,1,0,568
0.001750,5,1,0,713
0.002690,6,1,0,848
0.369679,7,1,0,974
0.456757,8,1,0,1131
0.482382,9,1,0,1275
0.684057,10,1,0,1414
0.658469,0,0,0,0
0.459676,0,0,0,0
0.434273,3,1,0,466
44.929951,4,1,0,652
0.838931,5,1,0,1116
0.851568,6,1,0,1709
0.002860,7,1,0,2282
0.003060,8,1,0,2886
0.188539,9,1,0,3343
0.418775,10,1,0,3913
0.705020,0,0,0,0
0.842453,0,0,0,0
1.021432,0,0,0,0
