#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.535343,0.074629,0.765759,0.007023,0.007023,7.388199
8.399897,0.235659,3.189006,0.002467,0.002467,11.829086
9.003130,0.412842,4.985613,0.352079,0.352079,58.544430
6.532258,0.264273,4.700022,0.399394,0.399394,27.844559
10.160006,0.354323,11.781541,0.521121,0.521121,50.753774
7.065023,0.168635,6.390604,1.158460,1.158460,34.430625
8.341943,0.198638,7.788192,1.165618,1.165618,61.727380
14.129420,0.547256,25.600474,2.070659,2.070659,78.046200
12.495936,0.311711,24.626786,1.575635,1.575635,65.220178
11.675270,0.424681,21.109705,93.914608,93.914608,169.972587
6.235100,0.154230,10.745254,1.774198,1.774198,62.652893
11.574845,0.495500,30.716603,2.418174,2.418174,92.483195
11.559145,0.454021,33.579459,2.806556,2.806556,117.605584
11.970894,0.502369,30.232149,2.592422,2.592422,124.318599
12.368085,0.442368,18.493758,2.927532,2.927532,100.014920
9.406867,0.274075,15.207054,2.687003,2.687003,94.952080
11.238115,0.511946,29.366656,4.275458,4.275458,127.437103
8.336240,0.208076,16.858346,3.081636,3.081636,96.536610
8.247120,0.249543,15.537097,3.246207,3.246207,273.923792
9.252227,0.318260,20.616799,3.570375,3.570375,117.356323
9.048545,0.236024,18.464049,3.807270,3.807270,125.842227
12.611091,0.423395,38.493928,6.132841,6.132841,147.961290
8.116184,0.265125,22.178675,4.223801,4.223801,125.717003
6.643052,0.172544,14.583092,4.240604,4.240604,129.291502
8.258651,0.159950,18.743280,3.668159,3.668159,108.356204
8.158205,0.196154,14.344842,4.946725,4.946725,110.036410
12.227348,0.372299,35.029397,5.538115,5.538115,134.037646
12.116877,0.539386,15.554140,4.582691,4.582691,126.301399
8.894555,0.223588,23.576780,5.358012,5.358012,131.947809
10.379866,0.305118,29.492660,4.182576,4.182576,136.353132
7.608506,0.268184,14.783180,4.479073,4.479073,128.250427
8.179196,0.277318,14.220653,3.241644,3.241644,131.104355
11.478584,0.528882,32.695553,3.937553,3.937553,156.729195
7.912321,0.249691,14.950222,5.181225,5.181225,135.269636
12.843290,0.311300,30.675767,3.757936,3.757936,163.841871
6.283531,0.201154,13.962747,4.087561,4.087561,131.010395
9.886829,0.239949,23.763181,9.744077,9.744077,156.536225
13.861160,0.360952,37.266916,4.819016,4.819016,158.856633
10.591578,0.215921,18.214720,7.282326,7.282326,148.482044
11.353450,0.247307,24.518797,7.985613,7.985613,161.051977
8.388816,0.262316,16.007563,7.610700,7.610700,177.312541
14.534366,0.514629,27.771658,6.606723,6.606723,161.931110
7.810114,0.212173,18.625698,9.048613,9.048613,152.521436
7.010053,0.186125,17.298843,7.188364,7.188364,141.897341
10.402608,0.285119,24.533346,7.917891,7.917891,158.783551
7.622864,0.180945,16.727149,7.766161,7.766161,150.326415
10.297891,0.248378,18.966858,11.050511,11.050511,152.314670
11.697772,0.374448,27.136340,5.739544,5.739544,429.440257
12.491803,0.460258,30.861925,7.680831,7.680831,187.464645
13.305203,0.534096,39.683888,6.305214,6.305214,175.284578
14.280341,0.518556,35.723705,7.348537,7.348537,178.928430
12.283751,0.576219,39.250177,8.009135,8.009135,185.543714
11.233642,0.524056,38.690115,8.930424,8.930424,190.839790
11.976957,0.565412,27.118743,9.147648,9.147648,167.741484
9.659744,0.470852,24.270617,10.226622,10.226622,162.715034
11.978057,0.679576,29.305983,10.261989,10.261989,184.282599
7.876395,0.314880,23.306250,7.662166,7.662166,161.872592
10.654680,0.522749,36.793327,12.299112,12.299112,198.947944
11.348993,0.450294,26.323065,9.127220,9.127220,163.126290
6.362917,0.195771,16.593137,9.305489,9.305489,143.108204
6.193336,0.235218,16.759630,9.562806,9.562806,144.528746
6.468599,0.211674,17.032281,7.341360,7.341360,159.606433
12.045986,0.595628,34.235702,7.229188,7.229188,186.710527
12.503057,0.400995,33.520753,8.141777,8.141777,185.887273
11.665050,0.485320,35.763688,6.056137,6.056137,171.852957
6.248763,0.218278,16.326580,4.804648,4.804648,144.438666
7.175365,0.268779,20.465347,4.211870,4.211870,162.526736
6.671417,0.259172,14.959125,4.105472,4.105472,156.506472
12.208314,0.340198,28.716464,4.431313,4.431313,167.397757
12.945309,0.500425,33.223586,4.494695,4.494695,177.513847
14.149178,0.492100,24.068886,6.998063,6.998063,192.250458
8.125034,0.217621,21.249168,7.736311,7.736311,162.317256
9.072242,0.232854,19.770136,7.153320,7.153320,171.218810
14.574011,0.389216,30.047286,7.769184,7.769184,185.335257
12.835115,0.266603,27.078834,6.015379,6.015379,176.559825
11.828424,0.550304,21.544618,6.432211,6.432211,169.678326
7.750257,0.339576,24.981337,6.213517,6.213517,170.338717
10.703909,0.525450,31.411340,6.721782,6.721782,190.482807
11.013580,0.566948,31.866073,6.837546,6.837546,190.341277
7.966634,0.288535,17.601367,5.566512,5.566512,160.705069
11.885599,0.451711,35.799392,8.724224,8.724224,193.467871
9.245725,0.321435,34.238037,5.816205,5.816205,186.726146
14.527550,0.495413,25.870493,13.424243,13.424243,190.234513
22.739772,0.677726,45.520069,10.369200,10.369200,209.922534
10.652504,0.306569,30.504266,10.272191,10.272191,186.053078
9.113871,0.238269,27.139732,10.211626,10.211626,164.997806
7.552106,0.183650,18.785212,14.220208,14.220208,153.314423
8.187108,0.263643,20.011706,11.430814,11.430814,160.846456
11.896569,0.277541,37.519531,12.410188,12.410188,191.396863
9.062377,0.288497,21.246762,9.584995,9.584995,155.535902
11.578802,0.318125,41.609389,9.247019,9.247019,185.331591
14.602449,0.409742,38.201804,11.317622,11.317622,198.976798
8.213203,0.271776,19.788656,10.292212,10.292212,153.876240
6.816986,0.280182,22.694469,11.041050,11.041050,160.596132
8.076388,0.255771,19.907543,8.161815,8.161815,164.554454
