#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008080,3,1,0,1302
0.001384,4,1,0,1883
0.495010,5,1,0,2465
0.825323,6,1,0,2801
0.939654,7,1,0,3199
0.674647,8,1,0,3506
1.091176,9,1,0,3705
1.315974,10,1,0,3741
1.233638,0,0,0,0
60.503102,0,0,0,0
1.119279,0,0,0,0
1.018363,0,0,0,0
1.240181,0,0,0,0
1.613259,0,0,0,0
1.514928,0,0,0,0
1.869252,0,0,0,0
1.588012,0,0,0,0
1.949775,0,0,0,0
2.128936,0,0,0,0
2.228592,0,0,0,0
2.655169,0,0,0,0
4.022923,0,0,0,0
3.475671,0,0,0,0
3.151966,0,0,0,0
3.375107,0,0,0,0
3.605841,0,0,0,0
3.755482,0,0,0,0
3.229955,0,0,0,0
3.357264,0,0,0,0
3.081026,0,0,0,0
3.275848,0,0,0,0
3.412402,0,0,0,0
3.573172,0,0,0,0
2.954012,0,0,0,0
2.845151,0,0,0,0
3.003514,0,0,0,0
2.873672,0,0,0,0
2.764857,0,0,0,0
2.504717,0,0,0,0
2.668997,0,0,0,0
4.123218,0,0,0,0
2.958382,0,0,0,0
3.813189,0,0,0,0
2.216206,0,0,0,0
3.324065,0,0,0,0
2.856143,0,0,0,0
3.377006,0,0,0,0
3.166723,0,0,0,0
2.478790,0,0,0,0
5.440774,0,0,0,0
2.228046,0,0,0,0
3.081385,0,0,0,0
3.416121,0,0,0,0
2.790116,0,0,0,0
2.152890,0,0,0,0
3.839196,0,0,0,0
1.868164,0,0,0,0
1.292508,0,0,0,0
1.375064,0,0,0,0
1.620055,0,0,0,0
1.080065,0,0,0,0
1.467111,0,0,0,0
1.174857,0,0,0,0
1.724106,0,0,0,0
3.023662,0,0,0,0
3.488930,0,0,0,0
2.832745,0,0,0,0
2.665941,0,0,0,0
2.618417,0,0,0,0
2.231891,0,0,0,0
2.703082,0,0,0,0
1.716390,0,0,0,0
2.442972,0,0,0,0
1.531474,0,0,0,0
2.022187,0,0,0,0
1.274826,0,0,0,0
2.274143,0,0,0,0
1.750627,0,0,0,0
2.047557,0,0,0,0
3.106707,0,0,0,0
3.032767,0,0,0,0
3.555751,0,0,0,0
2.511893,0,0,0,0
4.143808,0,0,0,0
2.982721,0,0,0,0
3.012196,0,0,0,0
3.194827,0,0,0,0
3.834805,0,0,0,0
3.385275,0,0,0,0
4.423288,0,0,0,0
3.331371,0,0,0,0
5.940144,0,0,0,0
3.542742,0,0,0,0
3.298215,0,0,0,0
3.284321,0,0,0,0
2.933817,0,0,0,0
3.407074,0,0,0,0
2.917198,0,0,0,0
3.329379,0,0,0,0
4.441134,0,0,0,0
2.698016,0,0,0,0
2.885861,0,0,0,0
3.330218,0,0,0,0
4.029050,0,0,0,0
2.964491,0,0,0,0
1.645467,0,0,0,0
2.128856,0,0,0,0
2.488975,0,0,0,0
1.458501,0,0,0,0
1.068213,0,0,0,0
1.290688,0,0,0,0
1.859340,0,0,0,0
0.900446,0,0,0,0
2.454878,0,0,0,0
1.185472,0,0,0,0
2.460683,0,0,0,0
2.629981,0,0,0,0
3.152348,0,0,0,0
2.348043,0,0,0,0
2.077444,0,0,0,0
2.630065,0,0,0,0
2.056220,0,0,0,0
2.200648,0,0,0,0
2.282516,0,0,0,0
3.204707,0,0,0,0
2.647459,0,0,0,0
3.327859,0,0,0,0
7.405020,0,0,0,0
3.616080,0,0,0,0
2.098057,0,0,0,0
6.114431,0,0,0,0
2.728473,0,0,0,0
3.763025,0,0,0,0
5.024762,0,0,0,0
4.302665,0,0,0,0
3.976371,0,0,0,0
3.485499,0,0,0,0
5.433047,0,0,0,0
2.320460,0,0,0,0
5.936597,0,0,0,0
2.518100,0,0,0,0
5.502471,0,0,0,0
4.618066,0,0,0,0
3.910148,0,0,0,0
3.701632,0,0,0,0
5.677846,0,0,0,0
4.530344,0,0,0,0
3.779722,0,0,0,0
4.518327,0,0,0,0
2.954051,0,0,0,0
4.361855,0,0,0,0
3.724499,0,0,0,0
4.546850,0,0,0,0
5.377344,0,0,0,0
4.947755,0,0,0,0
4.918088,0,0,0,0
3.964588,0,0,0,0
5.714515,0,0,0,0
4.530105,0,0,0,0
5.391901,0,0,0,0
4.980023,0,0,0,0
6.846657,0,0,0,0
5.383058,0,0,0,0
5.122077,0,0,0,0
5.585556,0,0,0,0
6.372876,0,0,0,0
7.110115,0,0,0,0
5.988738,0,0,0,0
6.575348,0,0,0,0
7.110353,0,0,0,0
6.643604,0,0,0,0
8.501352,0,0,0,0
10.826743,0,0,0,0
7.814729,0,0,0,0
7.679689,0,0,0,0
7.342108,0,0,0,0
8.497101,0,0,0,0
7.338141,0,0,0,0
7.171086,0,0,0,0
10.695304,0,0,0,0
8.152826,0,0,0,0
9.580253,0,0,0,0
7.722469,0,0,0,0
7.818904,0,0,0,0
9.400871,0,0,0,0
9.109883,0,0,0,0
10.449182,0,0,0,0
5.734107,0,0,0,0
5.869197,0,0,0,0
5.017001,0,0,0,0
7.340086,0,0,0,0
5.134849,0,0,0,0
2.640274,0,0,0,0
2.660013,0,0,0,0
3.284460,0,0,0,0
3.018358,0,0,0,0
1.229513,0,0,0,0
3.338226,0,0,0,0
1.072049,0,0,0,0
2.951128,0,0,0,0
2.492805,0,0,0,0
2.982436,0,0,0,0
3.190188,0,0,0,0
1.142249,0,0,0,0
0.997800,0,0,0,0
1.773154,0,0,0,0
1.760409,0,0,0,0
3.004966,0,0,0,0
0.920986,0,0,0,0
0.938875,0,0,0,0
2.598536,0,0,0,0
1.456772,0,0,0,0
1.549983,0,0,0,0
1.308333,0,0,0,0
1.176465,0,0,0,0
1.091885,0,0,0,0
1.106846,0,0,0,0
1.159017,0,0,0,0
0.930686,0,0,0,0
2.508700,0,0,0,0
1.797229,0,0,0,0
1.786261,0,0,0,0
1.154520,0,0,0,0
2.546994,0,0,0,0
2.923168,0,0,0,0
2.823568,0,0,0,0
2.411281,0,0,0,0
3.005897,0,0,0,0
2.578724,0,0,0,0
1.403239,0,0,0,0
2.340411,0,0,0,0
1.657697,0,0,0,0
2.813327,0,0,0,0
1.616108,0,0,0,0
3.178516,0,0,0,0
0.952639,0,0,0,0
1.769470,0,0,0,0
0.976685,0,0,0,0
2.087341,0,0,0,0
1.913627,0,0,0,0
2.247658,0,0,0,0
2.011708,0,0,0,0
2.037975,0,0,0,0
3.755735,0,0,0,0
1.652712,0,0,0,0
1.119749,0,0,0,0
2.114508,0,0,0,0
3.841662,0,0,0,0
2.141564,0,0,0,0
3.177737,0,0,0,0
2.129873,0,0,0,0
3.097527,0,0,0,0
2.144189,0,0,0,0
3.061000,0,0,0,0
3.270992,0,0,0,0
2.270168,0,0,0,0
2.342784,0,0,0,0
1.947828,0,0,0,0
2.293768,0,0,0,0
3.528937,0,0,0,0
3.570888,0,0,0,0
