#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,15.908687,4.347368,0.002061,8.879588,5.429925,0.001858,22.913146
1413394881655760384.000000,0.000000,0.000000,13.155122,4.456237,0.045791,3.739995,3.702057,0.000614,20.365339
1413394881705760512.000000,0.000000,0.000000,15.277196,6.778758,0.047247,5.278297,5.171426,0.000574,24.541622
1413394881755760384.000000,0.000000,0.000000,12.219297,6.667816,0.061958,2.709744,2.472048,0.000535,21.389623
1413394881805760512.000000,0.000000,0.000000,15.316210,4.812168,0.044563,2.285386,2.352880,0.350534,23.187024
1413394881855760384.000000,0.000000,0.000000,13.664391,4.260021,0.039629,4.964783,4.002207,0.000782,20.547185
1413394881905760512.000000,0.000000,0.000000,13.581783,11.640797,0.087699,2.739832,3.654118,0.000449,28.735799
1413394881955760384.000000,0.000000,0.000000,13.683005,10.522874,0.049502,4.328343,4.690341,0.000605,27.527675
1413394882005760512.000000,0.000000,0.000000,13.742819,3.970755,0.047305,2.324731,3.156116,0.000465,20.729964
1413394882055760384.000000,0.000000,0.000000,13.696096,4.469104,0.039762,2.209810,2.877887,0.000478,20.770203
1413394882105760512.000000,0.000000,0.000000,15.211114,5.422088,0.043021,3.393583,4.433452,0.473211,23.753676
1413394882155760384.000000,0.000000,0.000000,13.532867,4.795527,0.044013,5.430408,5.617561,0.000684,21.544441
1413394882205760512.000000,0.000000,0.000000,14.627387,4.447662,0.042192,2.794802,3.494892,0.000460,22.186191
1413394882255760384.000000,0.000000,0.000000,14.234848,4.209179,0.059345,2.546456,3.278759,0.000447,21.095272
1413394882305760512.000000,0.000000,0.000000,14.473240,9.409235,0.052006,3.903023,5.187802,0.000540,27.105937
1413394882355760384.000000,0.000000,0.000000,13.545604,8.708701,0.042325,2.386210,3.545051,0.000527,25.556615
1413394882405760512.000000,0.000000,0.000000,14.105591,4.659671,0.040449,1.996234,4.832755,0.519590,21.689229
1413394882455760384.000000,0.000000,0.000000,15.730233,4.246973,0.049500,2.975578,4.325529,0.000426,22.589919
1413394882505760512.000000,0.000000,0.000000,14.297508,4.189054,0.049012,3.164833,4.648306,0.000450,21.036373
1413394882555760384.000000,0.000000,0.000000,13.775248,4.643675,0.044785,3.140118,4.693664,0.000397,21.494696
1413394882605760512.000000,0.000000,0.000000,15.006935,11.380330,0.100238,2.433798,4.457660,0.000465,30.183212
1413394882655760384.000000,0.000000,0.000000,12.556757,6.752066,0.059410,2.333510,4.360741,0.000906,21.291785
1413394882705760512.000000,0.000000,0.000000,12.160876,4.026920,0.048621,2.382691,4.577562,0.369129,18.094262
1413394882755760384.000000,0.000000,0.000000,15.524564,4.558457,0.042885,3.224376,4.836108,0.000460,23.208706
1413394882805760512.000000,0.000000,0.000000,13.578026,10.934777,0.080650,2.928932,5.037482,0.000424,27.960035
1413394882855760384.000000,0.000000,0.000000,16.671194,11.652522,0.095485,2.707047,5.059519,0.000391,31.473966
1413394882905760512.000000,0.000000,0.000000,13.051934,4.222520,0.050408,2.586123,5.356898,0.000412,20.172637
1413394882955760384.000000,0.000000,0.000000,15.958100,12.657397,0.092453,2.333060,5.451049,0.403512,31.837403
1413394883005760512.000000,0.000000,0.000000,15.243079,6.703383,0.052306,3.211113,5.185666,0.000488,25.219543
1413394883055760384.000000,0.000000,0.000000,15.504041,4.052183,0.038794,2.777577,5.316483,0.000434,22.990340
1413394883105760512.000000,0.000000,0.000000,14.861758,9.264879,0.060249,2.849690,5.479269,0.000477,26.755966
1413394883155760384.000000,0.000000,0.000000,13.962332,11.366351,0.084687,2.220315,5.246733,0.000462,28.912022
1413394883205760512.000000,0.000000,0.000000,14.935736,10.924948,0.111697,2.347072,4.837337,0.359184,29.146585
1413394883255760384.000000,0.000000,0.000000,16.875676,4.689390,0.044875,5.070495,8.075540,0.000551,24.807019
1413394883305760512.000000,0.000000,0.000000,14.007756,4.863105,0.042427,3.029522,5.758572,0.000912,21.915760
1413394883355760384.000000,0.000000,0.000000,15.486649,4.890872,0.043419,2.536847,4.914468,0.000444,23.178504
1413394883405760512.000000,0.000000,0.000000,14.711306,4.704509,0.043883,2.536442,5.490644,0.000443,22.676557
1413394883455760384.000000,0.000000,0.000000,15.222504,5.089596,0.043313,2.275885,4.857120,0.279035,23.281070
1413394883505760512.000000,0.000000,0.000000,14.488630,11.051316,0.087272,2.743022,5.423455,0.000451,28.957603
1413394883555760384.000000,0.000000,0.000000,16.128089,4.253551,0.056952,3.830013,8.895662,0.000826,23.747670
1413394883605760512.000000,0.000000,0.000000,15.262702,11.214957,0.098878,2.746490,5.011745,0.000522,30.136370
1413394883655760384.000000,0.000000,0.000000,14.468460,9.238320,0.085786,1.923598,4.499274,0.000394,26.861261
1413394883705760512.000000,0.000000,0.000000,13.165282,4.608002,0.045600,2.019869,4.812910,0.360094,20.276830
1413394883755760384.000000,0.000000,0.000000,13.840332,4.047810,0.048231,2.871895,4.892183,0.000391,20.934548
1413394883805760512.000000,0.000000,0.000000,14.681311,4.959245,0.051271,2.148964,3.775041,0.000488,22.293231
1413394883855760384.000000,0.000000,0.000000,13.016992,7.914864,0.067388,2.360056,6.327626,0.000620,24.349804
1413394883905760512.000000,0.000000,0.000000,12.859800,9.453258,0.080678,1.922229,6.195805,0.000497,25.635517
