#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.429398,0.070578,0.463867,0.008366,0.008366,7.979277
8.201232,0.076539,1.013315,0.003256,0.003256,9.296426
8.899854,0.101188,1.378425,0.276021,0.276021,20.356553
9.008169,0.098145,1.759896,0.374380,0.374380,21.360699
11.672373,0.073375,3.486464,0.458796,0.458796,26.833551
9.483722,0.024746,2.708370,0.946064,0.946064,34.308918
9.959065,0.027150,3.153044,1.181292,1.181292,38.138834
10.002598,0.030899,4.286058,1.439116,1.439116,31.698280
5.848740,0.018044,1.980713,0.958616,0.958616,17.087215
9.820268,0.028546,5.463303,70.167824,70.167824,102.930805
10.599008,0.047306,4.079447,1.542010,1.542010,43.298973
11.119448,0.015283,8.235525,1.860482,1.860482,61.629345
7.879302,0.045882,0.490383,0.002930,0.002930,8.420207
6.644684,0.072239,0.589685,0.001355,0.001355,7.308984
8.680326,0.228038,6.863700,0.216822,0.216822,31.682092
11.523300,0.533255,11.205220,0.552680,0.552680,45.143128
9.408554,0.321853,10.836181,0.684238,0.684238,48.229391
9.544034,0.311523,14.129472,0.867028,0.867028,60.818335
9.476933,0.384918,13.425310,0.773354,0.773354,59.936095
5.181814,0.134337,8.195197,0.899123,0.899123,38.129774
5.280962,0.103226,7.355973,1.112744,1.112744,31.488431
9.999878,0.250465,22.853557,59.128149,59.128149,128.678161
9.915779,0.262721,16.329526,1.116546,1.116546,64.186716
6.011592,0.163620,8.014478,1.019563,1.019563,37.673001
4.793520,0.095880,7.932608,1.023055,1.023055,41.980507
5.664703,0.101477,9.925469,1.477269,1.477269,44.443846
5.085558,0.051520,8.456090,1.842316,1.842316,43.968701
5.401169,0.045610,8.015257,1.805741,1.805741,44.370375
5.397886,0.005708,7.977504,1.805789,1.805789,45.774858
5.400341,0.005053,7.716773,1.714596,1.714596,56.147667
11.201620,0.101651,36.398362,2.203248,2.203248,99.317473
8.044341,0.094555,21.522376,2.080590,2.080590,78.715693
8.481725,0.196022,24.592732,2.386771,2.386771,83.313613
8.742720,0.198546,17.839384,2.947955,2.947955,83.069650
7.742694,0.141440,18.904577,2.813124,2.813124,79.162072
6.604155,0.113663,14.897038,3.050470,3.050470,81.028001
6.092042,0.110702,12.009240,2.851566,2.851566,72.747368
6.511734,0.154612,8.965612,2.601437,2.601437,66.477180
8.190902,0.056864,12.102317,2.653605,2.653605,75.473319
6.352444,0.043275,10.577146,2.850611,2.850611,73.821616
6.193670,0.063392,12.601501,2.435987,2.435987,69.725205
13.112430,0.275022,30.520561,3.001528,3.001528,104.444851
13.899527,0.288884,38.137394,3.038306,3.038306,124.967700
8.593602,0.139202,22.710623,3.465743,3.465743,96.682679
5.950383,0.083690,14.723551,2.886077,2.886077,76.427995
7.341240,0.065901,15.850460,2.708179,2.708179,77.468244
10.397930,0.074305,16.961837,2.706618,2.706618,81.161993
5.677925,0.027697,13.547262,4.652196,4.652196,75.401475
5.839765,0.020087,0.215766,0.002010,0.002010,6.078636
8.613137,0.138650,1.208789,0.002990,0.002990,9.965569
8.966520,0.185713,1.835965,0.436113,0.436113,20.179695
8.793836,0.165993,2.433073,0.488976,0.488976,22.465915
8.232415,0.098495,2.713370,0.488588,0.488588,25.236109
9.394930,0.067139,3.392537,0.878415,0.878415,27.356268
9.582553,0.051012,4.232482,2.042490,2.042490,31.397696
9.669322,0.035909,4.566355,2.036528,2.036528,35.197219
10.813591,0.034476,5.258624,2.470318,2.470318,38.742776
10.521158,0.050333,4.662967,52.323713,52.323713,88.305235
11.184970,0.045846,6.490368,2.201865,2.201865,58.774105
10.103226,0.015499,7.417072,2.369616,2.369616,57.601906
4.525584,0.028464,0.268100,0.001804,0.001804,4.824979
8.135847,0.119851,1.224878,0.002620,0.002620,9.484856
9.044798,0.156490,1.667312,0.530853,0.530853,24.802073
9.469596,0.146977,2.272166,0.792074,0.792074,31.028946
9.458249,0.041716,2.793121,1.087042,1.087042,33.816833
9.118159,0.029616,3.342544,1.157864,1.157864,29.647616
8.392611,0.027297,3.322004,1.553449,1.553449,43.530353
11.009317,0.030173,4.907074,3.550789,3.550789,43.794927
11.108415,0.030249,4.857514,2.345105,2.345105,34.789849
11.678937,0.026469,5.359246,48.821974,48.821974,103.185548
6.659296,0.014844,2.925976,1.727968,1.727968,30.134710
7.783928,0.003792,3.308155,2.571595,2.571595,35.922540
7.497646,0.005441,3.963174,2.313951,2.313951,68.701549
5.238675,0.045295,0.343889,0.002172,0.002172,5.631175
7.695587,0.191522,1.409468,0.004843,0.004843,9.303676
7.556676,0.259524,1.890647,0.313647,0.313647,18.682400
9.209001,0.222522,9.938589,0.524809,0.524809,35.196705
9.580750,0.289968,8.275508,0.853783,0.853783,33.199315
8.642503,0.202428,6.088287,0.919926,0.919926,30.799815
9.663665,0.322677,14.266195,0.703541,0.703541,49.979512
10.252610,0.345559,20.191039,1.055008,1.055008,66.134979
10.310642,0.322493,12.839364,1.058319,1.058319,58.671395
11.034366,0.290057,27.778017,40.885445,40.885445,112.116250
4.993867,0.133870,9.929523,0.807789,0.807789,45.009105
6.182256,0.163439,13.028206,0.998625,0.998625,52.670748
10.974374,0.277708,25.924369,1.119900,1.119900,75.002161
10.077775,0.208855,24.499151,1.268293,1.268293,78.322734
9.248695,0.235717,30.763966,1.250069,1.250069,108.734108
7.635529,0.178960,16.339500,1.175985,1.175985,69.337250
8.715416,0.205126,15.683165,1.204658,1.204658,182.848308
10.879017,0.258604,22.857968,1.654776,1.654776,88.992493
10.721406,0.334547,31.792821,1.726972,1.726972,102.724114
10.368780,0.255687,26.260426,1.972932,1.972932,104.349778
11.051057,0.254878,31.239514,1.861563,1.861563,118.334635
6.189679,0.141675,15.569033,2.879871,2.879871,84.084190
11.447114,0.277477,30.053967,2.760609,2.760609,108.754291
6.345640,0.137569,16.242759,3.436197,3.436197,100.720103
6.267197,0.172216,16.554172,2.984085,2.984085,93.110802
