#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.668620,0.008361,0.073552,0.006263,0.006263,6.761238
7.500311,0.046609,0.464407,0.002790,0.002790,8.016580
7.789785,0.100912,0.997322,0.132131,0.132131,13.498920
8.529756,0.118228,6.816722,0.246141,0.246141,21.642652
8.478924,0.279838,11.385910,0.536743,0.536743,36.814362
8.273008,0.309094,13.901038,0.309307,0.309307,47.468721
9.625557,0.420695,11.157945,0.870187,0.870187,65.910414
11.397663,0.575908,24.043449,0.664286,0.664286,69.968747
9.380815,0.503896,17.918092,0.870391,0.870391,59.228927
8.933711,0.281667,12.410982,69.926898,69.926898,129.067237
6.084987,0.099615,1.009792,0.003257,0.003257,7.199864
4.424071,0.224638,1.664266,0.001671,0.001671,6.315940
7.035517,0.584201,6.151849,0.376727,0.376727,35.141342
5.126885,0.279411,3.920795,0.420169,0.420169,21.204701
8.045600,0.416411,8.365753,0.695564,0.695564,55.586336
3.667920,0.193347,5.458139,0.585540,0.585540,25.160405
4.486503,0.197372,4.728540,0.762036,0.762036,22.591913
5.197012,0.194421,6.800139,0.955331,0.955331,32.670577
6.497165,0.491376,13.789958,1.175441,1.175441,51.457595
7.100674,0.265668,22.273127,70.671768,70.671768,144.535972
5.096692,0.046259,0.450224,0.001640,0.001640,5.595576
8.416492,0.468703,4.374848,0.001601,0.001601,13.262824
7.873427,0.687579,3.871739,0.397516,0.397516,29.545247
7.530204,0.637947,8.500897,0.779612,0.779612,40.881151
5.725628,0.309931,5.168888,0.754267,0.754267,29.752667
8.504070,0.668439,7.778116,0.764479,0.764479,46.000778
5.762087,0.410681,4.796413,0.599747,0.599747,31.000343
6.420103,0.420159,6.865042,0.921233,0.921233,60.841801
5.577383,0.415293,7.851751,1.333393,1.333393,39.298737
6.717514,0.389504,8.906624,52.672306,52.672306,116.660867
6.908137,0.284015,8.778316,0.961000,0.961000,51.084465
9.192824,0.432372,19.490315,1.355425,1.355425,75.771792
7.687521,0.296379,15.170064,1.805065,1.805065,92.994882
5.731022,0.283230,11.584648,1.555914,1.555914,64.417124
5.921629,0.300930,13.249257,1.590828,1.590828,70.491496
5.245896,0.188364,10.548420,2.006105,2.006105,69.860210
6.184063,0.274125,13.720410,2.156871,2.156871,77.930381
5.139340,0.238591,11.927186,2.910127,2.910127,96.250336
8.012851,0.371965,14.775877,3.521273,3.521273,90.702168
7.178517,0.476937,20.219179,3.513423,3.513423,133.167867
5.279075,0.190008,11.287694,3.479415,3.479415,91.069989
3.327296,0.175500,9.238145,3.101393,3.101393,79.198809
3.883359,0.168894,10.089924,3.032101,3.032101,79.176463
5.264415,0.204258,12.981192,2.810001,2.810001,85.206637
4.131431,0.156707,9.683166,2.730232,2.730232,78.827504
5.077559,0.222947,10.016678,3.979153,3.979153,84.872124
3.945884,0.144016,10.662469,5.157913,5.157913,82.402789
4.772331,0.180000,12.571752,3.277834,3.277834,81.270267
4.587036,0.164563,11.848056,4.299258,4.299258,94.593089
4.718614,0.155344,11.847673,4.076184,4.076184,83.665805
5.274599,0.175350,12.556038,2.807186,2.807186,84.910488
5.141204,0.183631,12.230489,4.480658,4.480658,86.012081
5.389537,0.185063,12.321575,3.321706,3.321706,82.825625
5.657134,0.172354,13.153728,3.776614,3.776614,84.963423
8.510589,0.213710,20.758905,3.401284,3.401284,248.525894
5.362145,0.268290,14.676073,4.484543,4.484543,93.887309
8.729270,0.328815,16.970141,3.029801,3.029801,104.349145
10.081807,0.620047,16.565755,3.975012,3.975012,94.334691
10.511965,0.580898,31.826118,2.888382,2.888382,130.792447
11.996198,0.796423,28.452520,3.209371,3.209371,144.528471
10.906234,0.592051,26.509794,2.755802,2.755802,123.627600
6.456063,0.321446,17.355580,5.206600,5.206600,142.989355
6.238210,0.269364,14.394052,3.069129,3.069129,103.339310
7.736093,0.223607,14.778937,4.390020,4.390020,116.894254
8.068840,0.304996,16.486712,3.459719,3.459719,110.204081
5.813828,0.195105,13.566420,3.492025,3.492025,106.647982
5.283949,0.216754,13.007572,3.304391,3.304391,106.908559
5.886964,0.187153,12.868604,3.083119,3.083119,105.401817
5.762972,0.190235,13.113342,4.128657,4.128657,106.355560
4.852697,0.186971,11.786773,2.636764,2.636764,129.868417
5.065174,0.194190,13.102472,3.101024,3.101024,108.419606
8.923335,0.519683,31.503324,2.991454,2.991454,138.973357
5.829856,0.319553,12.154226,2.716343,2.716343,117.564180
13.723245,0.563425,28.309358,4.060127,4.060127,128.810526
7.846111,0.329562,15.646962,4.534164,4.534164,119.439467
11.839844,0.500727,27.960355,4.801208,4.801208,125.899745
5.386456,0.189605,13.465037,2.711063,2.711063,105.313383
5.838491,0.236005,12.568064,4.226654,4.226654,105.337038
5.263858,0.186056,12.035187,3.633109,3.633109,111.242502
5.104973,0.162589,12.627222,3.553883,3.553883,116.238710
5.601345,0.177656,12.358165,3.685676,3.685676,108.163680
4.966529,0.344669,14.451872,4.164261,4.164261,113.349966
4.321976,0.376044,11.706944,3.671414,3.671414,121.442845
3.938101,0.162051,10.992254,3.683597,3.683597,105.138652
5.080119,0.236086,12.592073,3.780058,3.780058,110.211118
6.681896,0.221476,13.777018,4.007911,4.007911,118.049567
7.138255,0.214679,17.495090,5.329631,5.329631,123.891517
9.667906,0.406849,31.478179,3.643609,3.643609,152.558269
4.981984,0.211935,11.094381,4.920164,4.920164,109.075062
6.428912,0.256526,12.389800,3.857274,3.857274,114.904339
5.509333,0.188282,12.472902,4.297626,4.297626,120.110785
6.470522,0.230339,16.752973,6.749275,6.749275,143.265169
5.877560,0.243024,17.270161,9.485382,9.485382,133.842928
6.971554,0.275653,18.473747,6.751339,6.751339,128.632223
6.942728,0.316826,17.518158,6.247497,6.247497,133.338911
11.656182,0.626667,36.950056,7.217636,7.217636,152.465287
6.208463,0.223097,18.652225,6.595726,6.595726,126.320926
7.103421,0.326883,25.068518,11.057396,11.057396,147.479588
6.067370,0.279118,19.229756,6.142619,6.142619,127.073482
4.951018,0.221420,16.929486,7.131155,7.131155,129.178879
5.778093,0.300769,18.319033,4.962046,4.962046,118.647680
4.578365,0.290075,13.361109,4.567298,4.567298,127.491657
4.459083,0.312608,11.772038,4.882607,4.882607,111.695466
3.636175,0.205698,9.775557,5.562702,5.562702,108.377830
