#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,13.471653,6.040645,0.002154,10.272961,8.272996,0.002028,21.708465
1413393212305760512.000000,0.000000,0.000000,10.763313,4.200716,0.048927,4.669658,5.356508,0.000645,17.505931
1413393212355760384.000000,0.000000,0.000000,11.258298,5.306872,0.040795,4.280418,4.637643,0.000436,19.664926
1413393212405760512.000000,0.000000,0.000000,10.473949,4.094856,0.043926,6.579827,4.967954,0.000563,16.920719
1413393212455760384.000000,0.000000,0.000000,10.962999,4.924231,0.037688,4.597889,5.046589,0.460365,18.789351
1413393212505760512.000000,0.000000,0.000000,10.671357,4.219972,0.034716,7.746358,5.437190,0.000548,17.724752
1413393212555760384.000000,0.000000,0.000000,10.569823,5.087148,0.041223,4.196269,4.464906,0.000478,18.671234
1413393212605760512.000000,0.000000,0.000000,11.125850,4.411863,0.049906,5.710632,5.979267,0.000681,18.682965
1413393212655760384.000000,0.000000,0.000000,13.180565,4.940512,0.043404,4.866839,4.815700,0.000673,21.442378
1413393212705760512.000000,0.000000,0.000000,8.808998,11.093516,0.080898,4.241260,4.410346,0.000732,22.966624
1413393212755760384.000000,0.000000,0.000000,10.249376,4.381991,0.048393,3.881191,3.924913,0.335233,17.494308
1413393212805760512.000000,0.000000,0.000000,10.790317,11.751449,0.087965,6.251969,3.502028,0.000393,25.380067
1413393212855760384.000000,0.000000,0.000000,10.079174,11.268602,0.081642,6.732358,4.921645,0.000865,24.035538
1413393212905760512.000000,0.000000,0.000000,11.890737,11.945676,0.084095,4.688545,4.985920,0.000446,26.618177
1413393212955760384.000000,0.000000,0.000000,10.444171,11.493555,0.083551,4.465976,3.596038,0.000471,25.246183
1413393213005760512.000000,0.000000,0.000000,10.891083,4.584586,0.034828,3.380597,3.837489,0.000413,17.930924
1413393213055760384.000000,0.000000,0.000000,9.524986,11.418053,0.074898,3.957452,5.353891,0.414072,24.252564
1413393213105760512.000000,0.000000,0.000000,10.195305,7.334133,0.035324,7.067244,5.873032,0.000620,20.583168
1413393213155760384.000000,0.000000,0.000000,10.680337,4.681118,0.037849,5.607300,4.141027,0.000436,18.658296
1413393213205760512.000000,0.000000,0.000000,10.011742,11.687841,0.085442,6.518791,5.697230,0.000415,24.866549
1413393213255760384.000000,0.000000,0.000000,10.822652,5.524890,0.037392,4.783633,5.449144,0.000388,19.282614
1413393213305760512.000000,0.000000,0.000000,11.060898,4.628181,0.044955,4.166902,5.247508,0.000487,18.324692
1413393213355760384.000000,0.000000,0.000000,11.275723,10.535503,0.042085,5.706133,5.880023,0.507147,25.035448
1413393213405760512.000000,0.000000,0.000000,11.436330,10.880719,0.042087,5.307915,3.957274,0.000543,25.349901
1413393213455760384.000000,0.000000,0.000000,12.667881,10.525956,0.042782,5.022335,4.348478,0.000472,25.672630
1413393213505760512.000000,0.000000,0.000000,12.120007,17.294414,0.088136,4.927675,4.325029,0.000524,32.819559
1413393213555760384.000000,0.000000,0.000000,12.564069,4.467617,0.049415,4.111101,4.784294,0.000714,20.430802
1413393213605760512.000000,0.000000,0.000000,10.594292,4.686550,0.055664,4.203166,4.382261,0.417607,17.561737
1413393213655760384.000000,0.000000,0.000000,12.236970,9.109178,0.063032,4.550757,4.118130,0.000400,24.215738
1413393213705760512.000000,0.000000,0.000000,10.776097,4.724042,0.036544,5.656859,6.138849,0.000578,18.396851
1413393213755760384.000000,0.000000,0.000000,10.481947,4.433310,0.053507,6.082944,5.952895,0.000517,17.897444
1413393213805760512.000000,0.000000,0.000000,12.763045,11.975164,0.076958,3.522430,4.896066,0.000417,27.731110
1413393213855760384.000000,0.000000,0.000000,10.946626,5.411623,0.039362,4.841949,6.076667,0.498227,19.724088
1413393213905760512.000000,0.000000,0.000000,12.447049,10.821063,0.073212,4.961739,5.585331,0.000428,26.579509
1413393213955760384.000000,0.000000,0.000000,11.935679,11.265657,0.086662,3.905503,4.507916,0.000863,26.432711
1413393214005760512.000000,0.000000,0.000000,11.732450,4.941959,0.045399,4.520227,4.677215,0.000416,19.649808
1413393214055760384.000000,0.000000,0.000000,11.366931,10.015054,0.040531,3.386002,4.757830,0.000311,24.215007
1413393214105760512.000000,0.000000,0.000000,10.902280,4.481156,0.047868,3.261688,5.373162,0.500819,18.087708
1413393214155760384.000000,0.000000,0.000000,11.543328,4.398412,0.044592,5.083617,5.476766,0.000448,18.609101
1413393214205760512.000000,0.000000,0.000000,11.218793,4.539661,0.048329,4.633312,6.740090,0.000519,19.076618
