Folder,ATE_RMSE_m,Runtime_ms
2025-07-11_09-59-23_result_oasis_MH01_MaskVerticalStripes_run1,0.04271628827913335,7389
2025-07-11_09-59-23_result_oasis_MH01_MaskVerticalStripes_run2,0.048844375685805394,7188
2025-07-11_09-59-23_result_oasis_MH01_MaskVerticalStripes_run3,0.054496400799711416,7215
2025-07-11_10-15-10_result_deadlines_MH01_MaskHorizontalStripes_run1,0.03853501915187551,7331
2025-07-11_10-15-10_result_deadlines_MH02_MaskHorizontalStripes_run1,0.0327795534202008,4815
2025-07-11_10-15-10_result_fov_deadlines_MH01_MaskHorizontalStripes_run1,0.06529129101505982,7356
2025-07-11_10-15-10_result_fov_deadlines_MH02_MaskHorizontalStripes_run1,0.07619697422330945,3907
2025-07-11_10-15-10_result_normal_MH01_MaskHorizontalStripes_run1,0.03696780036022943,7356
2025-07-11_10-15-10_result_normal_MH02_MaskHorizontalStripes_run1,0.0263323205514932,4880
2025-07-11_10-15-10_result_oasis_MH01_MaskHorizontalStripes_run1,0.04946743724999029,7100
2025-07-11_10-15-10_result_oasis_MH02_MaskHorizontalStripes_run1,0.020786624546119084,3956
2025-07-11_12-24-48_result_deadlines_MH01_MaskCheckerboard_run1,0.029759718578711306,7394
2025-07-11_12-24-48_result_deadlines_MH02_MaskCheckerboard_run1,0.03162029003235497,5090
2025-07-11_12-24-48_result_fov_deadlines_MH01_MaskCheckerboard_run1,0.058936921638820194,7326
2025-07-11_12-24-48_result_fov_deadlines_MH02_MaskCheckerboard_run1,0.09354304020699591,3879
2025-07-11_12-24-48_result_normal_MH01_MaskCheckerboard_run1,0.02847425013058349,7370
2025-07-11_12-24-48_result_normal_MH02_MaskCheckerboard_run1,0.042722374605107194,4800
2025-07-11_12-24-48_result_oasis_MH01_MaskCheckerboard_run1,0.047512773538499545,7120
2025-07-11_12-24-48_result_oasis_MH02_MaskCheckerboard_run1,0.04637897807058826,3928
2025-07-11_13-18-15_result_deadlines_MH01_MaskRandom_run1,0.04266005273691406,7449
2025-07-11_13-18-15_result_deadlines_MH02_MaskRandom_run1,0.0326843625699032,4789
2025-07-11_13-18-15_result_fov_deadlines_MH01_MaskRandom_run1,0.04092424942207235,7432
2025-07-11_13-18-15_result_fov_deadlines_MH02_MaskRandom_run1,0.07362741039866125,3903
2025-07-11_13-18-15_result_normal_MH01_MaskRandom_run1,0.03690089556190817,7367
2025-07-11_13-18-15_result_normal_MH02_MaskRandom_run1,0.0245856123237811,4913
2025-07-11_13-18-15_result_oasis_MH01_MaskRandom_run1,0.029954214012416634,5783
2025-07-11_13-18-15_result_oasis_MH02_MaskRandom_run1,0.04321065940073727,3917
